t_rel_s,sim_joint6_deg,real_joint6_deg
0.0000,28.4415,28.4414
0.0040,28.4413,28.4414
0.0080,28.4414,28.4414
0.0120,28.4413,28.4414
0.0160,28.4414,28.4414
0.0200,28.4413,28.4414
0.0240,28.4414,28.4414
0.0280,28.4413,28.4414
0.0320,28.4414,28.4414
0.0360,28.4413,28.4414
0.0400,28.4414,28.4414
0.0440,28.4413,28.4414
0.0480,28.4414,28.4414
0.0520,28.4413,28.4414
0.0560,28.4414,28.4414
0.0600,28.4413,28.4414
0.0640,28.4414,28.4414
0.0680,28.4414,28.4414
0.0720,28.4414,28.4414
0.0760,28.4413,28.4414
0.0800,28.4414,28.4414
0.0840,28.4414,28.4414
0.0880,28.4414,28.4414
0.0920,28.4414,28.4414
0.0960,28.4415,28.4414
0.1000,28.4414,28.4414
0.1040,28.4415,28.4414
0.1080,28.4414,28.4414
0.1120,28.4414,28.4414
0.1160,28.4413,28.4414
0.1200,28.4414,28.4414
0.1240,28.4414,28.4414
0.1280,28.4414,28.4414
0.1320,28.4414,28.4414
0.1360,28.4414,28.4414
0.1400,28.4414,28.4414
0.1440,28.4415,28.4414
0.1480,28.4414,28.4414
0.1520,28.4415,28.4414
0.1560,28.4414,28.4414
0.1600,28.4415,28.4414
0.1640,28.4413,28.4414
0.1680,28.4414,28.4414
0.1720,28.4414,28.4414
0.1760,28.4415,28.4414
0.1800,28.4413,28.4414
0.1840,28.4414,28.4414
0.1880,28.4414,28.4414
0.1920,28.4415,28.4414
0.1960,28.4414,28.4414
0.2000,28.4415,28.4414
0.2040,28.4414,28.4414
0.2080,28.4414,28.4413
0.2120,28.4413,28.4413
0.2160,28.4415,28.4413
0.2200,28.4414,28.4413
0.2240,28.4414,28.4413
0.2280,28.4413,28.4412
0.2320,28.4414,28.4412
0.2360,28.4414,28.4412
0.2400,28.4415,28.4412
0.2440,28.4413,28.4412
0.2480,28.4414,28.4411
0.2520,28.4414,28.4411
0.2560,28.4414,28.4411
0.2600,28.4413,28.4411
0.2640,28.4414,28.4410
0.2680,28.4413,28.4410
0.2720,28.4413,28.4410
0.2760,28.4413,28.4409
0.2800,28.4414,28.4409
0.2840,28.4413,28.4409
0.2880,28.4414,28.4408
0.2920,28.4413,28.4408
0.2960,28.4413,28.4408
0.3000,28.4412,28.4407
0.3040,28.4412,28.4407
0.3080,28.4412,28.4406
0.3120,28.4412,28.4406
0.3160,28.4411,28.4405
0.3200,28.4411,28.4405
0.3240,28.4410,28.4404
0.3280,28.4411,28.4404
0.3320,28.4410,28.4404
0.3360,28.4410,28.4403
0.3400,28.4409,28.4403
0.3440,28.4410,28.4402
0.3480,28.4409,28.4401
0.3520,28.4409,28.4400
0.3560,28.4407,28.4399
0.3600,28.4408,28.4398
0.3640,28.4408,28.4397
0.3680,28.4408,28.4395
0.3720,28.4407,28.4392
0.3760,28.4407,28.4389
0.3800,28.4405,28.4386
0.3840,28.4406,28.4383
0.3880,28.4405,28.4379
0.3920,28.4405,28.4376
0.3960,28.4403,28.4372
0.4000,28.4403,28.4367
0.4040,28.4402,28.4363
0.4080,28.4402,28.4357
0.4120,28.4400,28.4351
0.4160,28.4399,28.4345
0.4200,28.4397,28.4339
0.4240,28.4397,28.4333
0.4280,28.4395,28.4327
0.4320,28.4394,28.4319
0.4360,28.4390,28.4308
0.4400,28.4388,28.4295
0.4440,28.4385,28.4281
0.4480,28.4383,28.4265
0.4520,28.4380,28.4247
0.4560,28.4380,28.4227
0.4600,28.4375,28.4203
0.4640,28.4371,28.4179
0.4680,28.4365,28.4155
0.4720,28.4360,28.4131
0.4760,28.4352,28.4103
0.4800,28.4345,28.4077
0.4840,28.4340,28.4051
0.4880,28.4338,28.4026
0.4920,28.4328,28.4004
0.4960,28.4318,28.3982
0.5000,28.4305,28.3963
0.5040,28.4292,28.3945
0.5080,28.4281,28.3929
0.5120,28.4276,28.3912
0.5160,28.4259,28.3896
0.5200,28.4242,28.3879
0.5240,28.4220,28.3858
0.5280,28.4200,28.3837
0.5320,28.4177,28.3825
0.5360,28.4154,28.3815
0.5400,28.4137,28.3808
0.5440,28.4129,28.3803
0.5480,28.4104,28.3800
0.5520,28.4081,28.3799
0.5560,28.4056,28.3799
0.5600,28.4034,28.3798
0.5640,28.4009,28.3798
0.5680,28.3986,28.3798
0.5720,28.3963,28.3798
0.5760,28.3949,28.3798
0.5800,28.3941,28.3799
0.5840,28.3921,28.3799
0.5880,28.3901,28.3799
0.5920,28.3886,28.3800
0.5960,28.3871,28.3800
0.6000,28.3863,28.3801
0.6040,28.3857,28.3801
0.6080,28.3847,28.3801
0.6120,28.3837,28.3802
0.6160,28.3829,28.3803
0.6200,28.3821,28.3803
0.6240,28.3816,28.3804
0.6280,28.3810,28.3805
0.6320,28.3808,28.3805
0.6360,28.3806,28.3806
0.6400,28.3805,28.3807
0.6440,28.3802,28.3807
0.6480,28.3801,28.3808
0.6520,28.3799,28.3809
0.6560,28.3799,28.3809
0.6600,28.3798,28.3810
0.6640,28.3799,28.3810
0.6680,28.3798,28.3811
0.6720,28.3799,28.3811
0.6760,28.3799,28.3811
0.6800,28.3800,28.3812
0.6840,28.3799,28.3812
0.6880,28.3801,28.3812
0.6920,28.3801,28.3812
0.6960,28.3803,28.3813
0.7000,28.3803,28.3813
0.7040,28.3804,28.3813
0.7080,28.3804,28.3813
0.7120,28.3806,28.3814
0.7160,28.3806,28.3814
0.7200,28.3808,28.3814
0.7240,28.3807,28.3814
0.7280,28.3809,28.3814
0.7320,28.3808,28.3814
0.7360,28.3810,28.3814
0.7400,28.3810,28.3814
0.7440,28.3811,28.3814
0.7480,28.3811,28.3814
0.7520,28.3812,28.3814
0.7560,28.3811,28.3814
0.7600,28.3812,28.3814
0.7640,28.3812,28.3814
0.7680,28.3813,28.3814
0.7720,28.3813,28.3814
0.7760,28.3814,28.3813
0.7800,28.3813,28.3813
0.7840,28.3813,28.3813
0.7880,28.3812,28.3813
0.7920,28.3814,28.3813
0.7960,28.3814,28.3813
0.8000,28.3815,28.3813
0.8040,28.3813,28.3813
0.8080,28.3814,28.3813
0.8120,28.3813,28.3813
0.8160,28.3814,28.3813
0.8200,28.3813,28.3813
0.8240,28.3814,28.3812
0.8280,28.3813,28.3812
0.8320,28.3814,28.3812
0.8360,28.3813,28.3812
0.8400,28.3814,28.3812
0.8440,28.3813,28.3812
0.8480,28.3814,28.3812
0.8520,28.3813,28.3811
0.8560,28.3814,28.3811
0.8600,28.3813,28.3811
0.8640,28.3813,28.3811
0.8680,28.3812,28.3811
0.8720,28.3814,28.3811
0.8760,28.3813,28.3810
0.8800,28.3813,28.3810
0.8840,28.3812,28.3810
