t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4816.805888,sim,1.270780,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.806144,sim,1.270779,-0.216460,-2.623441,1.267661,-1.570863,-0.222386
4816.806302,sim,1.270780,-0.216445,-2.623444,1.267642,-1.570860,-0.222390
4816.806558,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222386
4816.806896,sim,1.270779,-0.216444,-2.623445,1.267641,-1.570860,-0.222390
4816.807161,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570864,-0.222386
4816.807332,sim,1.270779,-0.216445,-2.623445,1.267639,-1.570860,-0.222391
4816.807533,sim,1.270779,-0.216461,-2.623440,1.267662,-1.570863,-0.222386
4816.807738,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.807954,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.808160,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.808324,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.808519,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.808691,sim,1.270779,-0.216460,-2.623441,1.267663,-1.570864,-0.222385
4816.808900,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4816.809058,sim,1.270779,-0.216461,-2.623440,1.267664,-1.570863,-0.222386
4816.809225,sim,1.270780,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.809364,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.809516,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4816.809648,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.809852,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4816.810031,sim,1.270779,-0.216463,-2.623440,1.267664,-1.570863,-0.222386
4816.810290,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.810711,sim,1.270779,-0.216460,-2.623441,1.267661,-1.570863,-0.222386
4816.810994,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.811261,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.811478,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.811661,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.811801,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.811946,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.812094,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.812227,sim,1.270779,-0.216459,-2.623441,1.267663,-1.570864,-0.222385
4816.812352,sim,1.270780,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.812474,sim,1.270780,-0.216463,-2.623439,1.267666,-1.570864,-0.222385
4816.812597,sim,1.270779,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.812723,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.812846,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4816.812972,sim,1.270780,-0.216461,-2.623440,1.267665,-1.570864,-0.222385
4816.813113,sim,1.270779,-0.216446,-2.623444,1.267641,-1.570860,-0.222390
4816.813237,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222385
4816.813360,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.813485,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222386
4816.813607,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.813729,sim,1.270779,-0.216462,-2.623440,1.267663,-1.570863,-0.222386
4816.813848,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.813965,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.814099,sim,1.270779,-0.216444,-2.623445,1.267638,-1.570860,-0.222391
4816.814222,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570864,-0.222386
4816.814342,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.814548,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570863,-0.222386
4816.814760,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4816.814965,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570864,-0.222385
4816.815171,sim,1.270780,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.815438,sim,1.270779,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.815585,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.815710,sim,1.270779,-0.216460,-2.623441,1.267661,-1.570863,-0.222386
4816.815834,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.815956,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.816090,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.816216,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570864,-0.222385
4816.816337,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.816456,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.816574,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.816693,sim,1.270780,-0.216463,-2.623439,1.267666,-1.570864,-0.222385
4816.816816,sim,1.270779,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.816938,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.817069,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4816.817195,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570864,-0.222386
4816.817317,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.817446,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.817570,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.817693,sim,1.270780,-0.216461,-2.623440,1.267665,-1.570864,-0.222385
4816.817829,sim,1.270779,-0.216445,-2.623445,1.267639,-1.570860,-0.222391
4816.817951,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.818087,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.818213,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.818334,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.818526,sim,1.270780,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.818737,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.819058,sim,1.270779,-0.216459,-2.623441,1.267663,-1.570864,-0.222385
4816.819268,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4816.819456,sim,1.270779,-0.216461,-2.623440,1.267664,-1.570863,-0.222386
4816.819585,sim,1.270780,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.819708,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.819833,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4816.819962,sim,1.270780,-0.216460,-2.623440,1.267665,-1.570864,-0.222385
4816.820101,sim,1.270779,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.820307,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.820432,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4816.820552,sim,1.270780,-0.216462,-2.623440,1.267665,-1.570864,-0.222385
4816.820671,sim,1.270779,-0.216446,-2.623444,1.267641,-1.570860,-0.222390
4816.820830,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222385
4816.820972,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.821105,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222386
4816.821226,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.821346,sim,1.270779,-0.216462,-2.623440,1.267663,-1.570863,-0.222386
4816.821464,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.821585,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222385
4816.821704,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.821828,sim,1.270779,-0.216462,-2.623440,1.267663,-1.570863,-0.222386
4816.821950,sim,1.270779,-0.216444,-2.623445,1.267638,-1.570860,-0.222391
4816.822087,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570864,-0.222386
4816.822218,sim,1.270780,-0.216445,-2.623444,1.267642,-1.570860,-0.222390
4816.822339,sim,1.270779,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.822655,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4816.827033,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.830585,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.834614,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.838588,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.842730,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570864,-0.222385
4816.846692,sim,1.270780,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.850551,sim,1.270780,-0.216463,-2.623439,1.267666,-1.570864,-0.222385
4816.854577,sim,1.270779,-0.216445,-2.623445,1.267639,-1.570859,-0.222391
4816.858673,sim,1.270780,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.862702,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.866667,sim,1.270780,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.870690,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4816.874680,sim,1.270779,-0.216459,-2.623441,1.267663,-1.570864,-0.222385
4816.878638,sim,1.270780,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.882721,sim,1.270780,-0.216463,-2.623439,1.267666,-1.570864,-0.222385
4816.886666,sim,1.270779,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.890595,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.894612,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.898576,sim,1.270780,-0.216461,-2.623440,1.267664,-1.570863,-0.222386
4816.902853,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.906683,sim,1.270779,-0.216461,-2.623440,1.267664,-1.570863,-0.222386
4816.910678,sim,1.270779,-0.216444,-2.623445,1.267638,-1.570860,-0.222391
4816.914591,sim,1.270779,-0.216458,-2.623441,1.267662,-1.570864,-0.222385
4816.918680,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4816.923246,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4816.926590,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4816.931199,sim,1.270779,-0.216461,-2.623440,1.267664,-1.570863,-0.222386
4816.934663,sim,1.270780,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4816.938684,sim,1.270779,-0.216460,-2.623441,1.267661,-1.570863,-0.222386
4816.942726,sim,1.270780,-0.216445,-2.623444,1.267642,-1.570860,-0.222390
4816.946554,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.950595,sim,1.270780,-0.216446,-2.623444,1.267641,-1.570860,-0.222390
4816.954631,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.958689,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4816.962695,sim,1.270779,-0.216462,-2.623440,1.267663,-1.570863,-0.222386
4816.966789,sim,1.270779,-0.216444,-2.623445,1.267638,-1.570860,-0.222391
4816.970717,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570863,-0.222386
4816.974583,sim,1.270780,-0.216445,-2.623444,1.267642,-1.570860,-0.222390
4816.978592,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222386
4816.982929,sim,1.270780,-0.216446,-2.623444,1.267641,-1.570860,-0.222390
4816.986647,sim,1.270779,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4816.990575,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4816.994617,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4816.998618,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.002705,sim,1.270779,-0.216462,-2.623440,1.267663,-1.570863,-0.222386
4817.006549,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.010603,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.014670,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.018722,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.022676,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.026752,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.030708,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.034645,sim,1.270779,-0.216460,-2.623440,1.267663,-1.570864,-0.222385
4817.038666,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222390
4817.043076,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570863,-0.222386
4817.046734,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4817.050727,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4817.054648,sim,1.270779,-0.216445,-2.623445,1.267640,-1.570860,-0.222390
4817.058662,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.062758,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4817.066686,sim,1.270779,-0.216461,-2.623440,1.267664,-1.570864,-0.222385
4817.070683,sim,1.270780,-0.216446,-2.623444,1.267642,-1.570860,-0.222390
4817.074672,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4817.078694,sim,1.270779,-0.216444,-2.623445,1.267639,-1.570860,-0.222391
4817.082996,sim,1.270779,-0.216460,-2.623441,1.267662,-1.570864,-0.222386
4817.086560,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4817.090693,sim,1.270779,-0.216459,-2.623441,1.267662,-1.570864,-0.222385
4817.094820,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.098661,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.102802,sim,1.270780,-0.216446,-2.623444,1.267643,-1.570860,-0.222390
4817.106625,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4817.110725,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4817.114683,sim,1.270780,-0.216462,-2.623440,1.267664,-1.570863,-0.222386
4817.118653,sim,1.270779,-0.216445,-2.623444,1.267641,-1.570860,-0.222390
4817.122758,sim,1.270780,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.126709,sim,1.270779,-0.216445,-2.623445,1.267641,-1.570860,-0.222390
4817.130690,sim,1.270779,-0.216458,-2.623441,1.267661,-1.570863,-0.222386
4817.134642,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
4817.138619,sim,1.270779,-0.216461,-2.623440,1.267663,-1.570863,-0.222386
4817.142913,sim,1.270779,-0.216444,-2.623445,1.267640,-1.570860,-0.222390
