t_rel_s,sim_Middle_deg,real_Middle_deg
0.0000,45.9429,45.9429
0.0040,45.9429,45.9429
0.0080,45.9429,45.9429
0.0120,45.9429,45.9429
0.0160,45.9429,45.9429
0.0200,45.9429,45.9429
0.0240,45.9429,45.9429
0.0280,45.9429,45.9429
0.0320,45.9429,45.9429
0.0360,45.9429,45.9429
0.0400,45.9429,45.9429
0.0440,45.9429,45.9429
0.0480,45.9429,45.9429
0.0520,45.9429,45.9429
0.0560,45.9429,45.9429
0.0600,45.9429,45.9429
0.0640,45.9429,45.9429
0.0680,45.9429,45.9429
0.0720,45.9429,45.9429
0.0760,45.9429,45.9429
0.0800,45.9429,45.9429
0.0840,45.9429,45.9429
0.0880,45.9429,45.9429
0.0920,45.9429,45.9429
0.0960,45.9429,45.9429
0.1000,45.9429,45.9429
0.1040,45.9429,45.9429
0.1080,45.9429,45.9429
0.1120,45.9429,45.9429
0.1160,45.9429,45.9429
0.1200,45.9429,45.9429
0.1240,45.9429,45.9429
0.1280,45.9429,45.9429
0.1320,45.9429,45.9429
0.1360,45.9429,45.9429
0.1400,45.9429,45.9429
0.1440,45.9429,45.9429
0.1480,45.9429,45.9429
0.1520,45.9429,45.9429
0.1560,45.9429,45.9429
0.1600,45.9429,45.9429
0.1640,45.9429,45.9429
0.1680,45.9429,45.9429
0.1720,45.9429,45.9429
0.1760,45.9429,45.9429
0.1800,45.9429,45.9429
0.1840,45.9429,45.9429
0.1880,45.9429,45.9429
0.1920,45.9429,45.9429
0.1960,45.9429,45.9429
0.2000,45.9429,45.9429
0.2040,45.9429,45.9429
0.2080,45.9429,45.9429
0.2120,45.9429,45.9429
0.2160,45.9429,45.9429
0.2200,45.9429,45.9429
0.2240,45.9429,45.9429
0.2280,45.9429,45.9429
0.2320,45.9429,45.9429
0.2360,45.9429,45.9429
0.2400,45.9429,45.9429
0.2440,45.9429,45.9429
0.2480,45.9429,45.9429
0.2520,45.9429,45.9429
0.2560,45.9429,45.9429
0.2600,45.9429,45.9429
0.2640,45.9429,45.9429
0.2680,45.9429,45.9429
0.2720,45.9429,45.9429
0.2760,45.9429,45.9429
0.2800,45.9429,45.9429
0.2840,45.9429,45.9429
0.2880,45.9429,45.9429
0.2920,45.9429,45.9429
0.2960,45.9429,45.9429
0.3000,45.9429,45.9429
0.3040,45.9429,45.9429
0.3080,45.9429,45.9429
0.3120,45.9429,45.9429
0.3160,45.9429,45.9429
0.3200,45.9429,45.9429
0.3240,45.9429,45.9429
0.3280,45.9429,45.9429
0.3320,45.9429,45.9429
0.3360,45.9429,45.9429
0.3400,45.9429,45.9429
0.3440,45.9429,45.9429
0.3480,45.9429,45.9429
0.3520,45.9429,45.9429
0.3560,45.9429,45.9429
0.3600,45.9429,45.9429
0.3640,45.9429,45.9429
0.3680,45.9429,45.9429
0.3720,45.9429,45.9429
0.3760,45.9429,45.9429
0.3800,45.9429,45.9429
0.3840,45.9429,45.9429
0.3880,45.9429,45.9429
0.3920,45.9429,45.9429
0.3960,45.9429,45.9429
0.4000,45.9429,45.9429
0.4040,45.9429,45.9429
0.4080,45.9429,45.9429
0.4120,45.9429,45.9429
0.4160,45.9429,45.9429
0.4200,45.9429,45.9429
0.4240,45.9429,45.9429
0.4280,45.9429,45.9429
0.4320,45.9429,45.9429
0.4360,45.9429,45.9429
0.4400,45.9429,45.9429
0.4440,45.9429,45.9429
0.4480,45.9429,45.9429
0.4520,45.9429,45.9429
0.4560,45.9429,45.9429
0.4600,45.9429,45.9429
0.4640,45.9429,45.9429
0.4680,45.9429,45.9429
0.4720,45.9429,45.9429
0.4760,45.9429,45.9429
0.4800,45.9429,45.9429
0.4840,45.9429,45.9429
0.4880,45.9429,45.9429
0.4920,45.9429,45.9429
0.4960,45.9429,45.9429
0.5000,45.9429,45.9429
0.5040,45.9429,45.9429
0.5080,45.9429,45.9429
0.5120,45.9429,45.9429
0.5160,45.9429,45.9429
0.5200,45.9429,45.9429
0.5240,45.9429,45.9429
0.5280,45.9429,45.9429
0.5320,45.9429,45.9429
0.5360,45.9429,45.9429
0.5400,45.9429,45.9429
0.5440,45.9429,45.9429
0.5480,45.9429,45.9429
0.5520,45.9429,45.9429
0.5560,45.9429,45.9429
0.5600,45.9429,45.9429
0.5640,45.9429,45.9429
0.5680,45.9429,45.9429
0.5720,45.9429,45.9429
0.5760,45.9429,45.9429
0.5800,45.9429,45.9429
0.5840,45.9429,45.9429
0.5880,45.9429,45.9429
0.5920,45.9429,45.9429
0.5960,45.9429,45.9429
0.6000,45.9429,45.9429
0.6040,45.9429,45.9429
0.6080,45.9429,45.9429
0.6120,45.9429,45.9429
0.6160,45.9429,45.9429
0.6200,45.9429,45.9429
0.6240,45.9429,45.9429
0.6280,45.9429,45.9429
0.6320,45.9429,45.9429
0.6360,45.9429,45.9429
0.6400,45.9429,45.9429
0.6440,45.9429,45.9429
0.6480,45.9429,45.9429
0.6520,45.9429,45.9429
0.6560,45.9429,45.9429
0.6600,45.9429,45.9429
0.6640,45.9429,45.9429
0.6680,45.9429,45.9429
0.6720,45.9429,45.9429
0.6760,45.9429,45.9429
0.6800,45.9429,45.9429
0.6840,45.9429,45.9429
0.6880,45.9429,45.9429
0.6920,45.9429,45.9429
0.6960,45.9429,45.9429
0.7000,45.9429,45.9429
0.7040,45.9429,45.9429
0.7080,45.9429,45.9429
0.7120,45.9429,45.9429
0.7160,45.9429,45.9429
0.7200,45.9429,45.9429
0.7240,45.9429,45.9429
0.7280,45.9429,45.9429
0.7320,45.9429,45.9429
0.7360,45.9429,45.9429
0.7400,45.9429,45.9429
0.7440,45.9429,45.9429
0.7480,45.9429,45.9429
0.7520,45.9429,45.9429
0.7560,45.9429,45.9429
0.7600,45.9429,45.9429
0.7640,45.9429,45.9429
0.7680,45.9429,45.9429
0.7720,45.9429,45.9429
0.7760,45.9429,45.9429
0.7800,45.9429,45.9429
0.7840,45.9429,45.9429
0.7880,45.9429,45.9429
0.7920,45.9429,45.9429
0.7960,45.9429,45.9429
0.8000,45.9429,45.9429
0.8040,45.9429,45.9429
0.8080,45.9429,45.9429
0.8120,45.9429,45.9429
0.8160,45.9429,45.9429
0.8200,45.9429,45.9429
0.8240,45.9429,45.9429
0.8280,45.9429,45.9429
0.8320,45.9429,45.9429
0.8360,45.9429,45.9429
0.8400,45.9429,45.9429
0.8440,45.9429,45.9429
0.8480,45.9429,45.9429
0.8520,45.9429,45.9429
0.8560,45.9429,45.9429
0.8600,45.9429,45.9429
0.8640,45.9429,45.9429
0.8680,45.9429,45.9429
0.8720,45.9429,45.9429
0.8760,45.9429,45.9429
0.8800,45.9429,45.9429
