t_mono_s,source,Thumb_rad,Index_rad,Middle_rad,Ring_rad,Little_rad,Rotate_rad
3445.883214,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.883908,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.884220,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.884510,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.884733,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.884949,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.885134,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.885317,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.885466,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.885617,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.885761,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.885912,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.886072,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.886237,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.886393,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.886542,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.886688,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.886852,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.887013,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.887176,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.887318,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.887461,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.887602,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.887739,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.890625,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.894437,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.898427,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.902438,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.906424,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.910312,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.914292,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.918358,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.922904,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.926353,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.930362,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.934348,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.938348,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.942465,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.946308,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.950266,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.954373,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.958372,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.962367,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.966292,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.970415,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.974342,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.978470,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.982780,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.986461,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.990413,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3445.994330,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
3445.998360,sim,0.080000,0.120000,0.125828,0.125828,0.131656,0.000004
3446.002479,sim,0.080000,0.120000,0.125828,0.125828,0.131655,-0.000003
