t_rel_s,sim_Little_deg,real_Little_deg
0.0000,41.6020,41.6020
0.0040,41.6020,41.6020
0.0080,41.6020,41.6020
0.0120,41.6020,41.6020
0.0160,41.6020,41.6020
0.0200,41.6020,41.6020
0.0240,41.6020,41.6020
0.0280,41.6020,41.6020
0.0320,41.6020,41.6020
0.0360,41.6020,41.6020
0.0400,41.6020,41.6020
0.0440,41.6020,41.6020
0.0480,41.6020,41.6020
0.0520,41.6020,41.6020
0.0560,41.6020,41.6020
0.0600,41.6020,41.6020
0.0640,41.6020,41.6020
0.0680,41.6020,41.6020
0.0720,41.6020,41.6020
0.0760,41.6020,41.6020
0.0800,41.6020,41.6020
0.0840,41.6020,41.6020
0.0880,41.6020,41.6020
0.0920,41.6020,41.6020
0.0960,41.6020,41.6020
0.1000,41.6020,41.6020
0.1040,41.6020,41.6020
0.1080,41.6020,41.6020
0.1120,41.6020,41.6020
0.1160,41.6020,41.6020
0.1200,41.6020,41.6020
0.1240,41.6020,41.6020
0.1280,41.6020,41.6020
0.1320,41.6020,41.6020
0.1360,41.6020,41.6020
0.1400,41.6020,41.6020
0.1440,41.6020,41.6020
0.1480,41.6020,41.6020
0.1520,41.6020,41.6020
0.1560,41.6020,41.6020
0.1600,41.6020,41.6020
0.1640,41.6020,41.6020
0.1680,41.6020,41.6020
0.1720,41.6020,41.6020
0.1760,41.6020,41.6020
0.1800,41.6020,41.6020
0.1840,41.6020,41.6020
0.1880,41.6020,41.6020
0.1920,41.6020,41.6020
0.1960,41.6020,41.6020
0.2000,41.6020,41.6020
0.2040,41.6020,41.6020
0.2080,41.6020,41.6020
0.2120,41.6020,41.6020
0.2160,41.6020,41.6020
0.2200,41.6020,41.6020
0.2240,41.6020,41.6020
0.2280,41.6020,41.6020
0.2320,41.6020,41.6020
0.2360,41.6020,41.6020
0.2400,41.6020,41.6020
0.2440,41.6020,41.6020
0.2480,41.6020,41.6020
0.2520,41.6020,41.6020
0.2560,41.6020,41.6020
0.2600,41.6020,41.6020
0.2640,41.6020,41.6020
0.2680,41.6020,41.6020
0.2720,41.6020,41.6020
0.2760,41.6020,41.6020
0.2800,41.6020,41.6020
0.2840,41.6020,41.6020
0.2880,41.6020,41.6020
0.2920,41.6020,41.6020
0.2960,41.6020,41.6020
0.3000,41.6020,41.6020
0.3040,41.6020,41.6020
0.3080,41.6020,41.6020
0.3120,41.6020,41.6020
0.3160,41.6020,41.6020
0.3200,41.6020,41.6020
0.3240,41.6020,41.6020
0.3280,41.6020,41.6020
0.3320,41.6020,41.6020
0.3360,41.6020,41.6020
0.3400,41.6020,41.6020
0.3440,41.6020,41.6020
0.3480,41.6020,41.6020
0.3520,41.6020,41.6020
0.3560,41.6020,41.6020
0.3600,41.6020,41.6020
0.3640,41.6020,41.6020
0.3680,41.6020,41.6020
0.3720,41.6020,41.6020
0.3760,41.6020,41.6020
0.3800,41.6020,41.6020
0.3840,41.6020,41.6020
0.3880,41.6020,41.6020
0.3920,41.6020,41.6020
0.3960,41.6020,41.6020
0.4000,41.6020,41.6020
0.4040,41.6020,41.6020
0.4080,41.6020,41.6020
0.4120,41.6020,41.6020
0.4160,41.6020,41.6020
0.4200,41.6020,41.6020
0.4240,41.6020,41.6020
0.4280,41.6020,41.6020
0.4320,41.6020,41.6020
0.4360,41.6020,41.6020
0.4400,41.6020,41.6020
0.4440,41.6020,41.6020
0.4480,41.6020,41.6020
0.4520,41.6020,41.6020
0.4560,41.6020,41.6020
0.4600,41.6020,41.6020
0.4640,41.6020,41.6020
0.4680,41.6020,41.6020
0.4720,41.6020,41.6020
0.4760,41.6020,41.6020
0.4800,41.6020,41.6020
0.4840,41.6020,41.6020
0.4880,41.6020,41.6020
0.4920,41.6020,41.6020
0.4960,41.6020,41.6020
0.5000,41.6020,41.6020
