captura,condicao,junta,amp_deg,lag_ms,peak_corr,mae_deg,rmse_deg,emax_deg,r_pearson,rmse_sem_compensar_deg
hand_latency_real_to_sim_20260910_121931,drag teach,Thumb,14.888058,-136.882344,0.996465,0.876062,1.443075,6.734123,0.996465,5.158588
hand_latency_real_to_sim_20260910_121931,drag teach,Index,14.998591,-139.374427,0.997655,0.690563,1.165264,5.222925,0.997655,4.769664
hand_latency_real_to_sim_20260910_121931,drag teach,Middle,15.175215,-139.254781,0.997820,0.722033,1.175292,4.655397,0.997820,4.855574
hand_latency_real_to_sim_20260910_121931,drag teach,Ring,14.748905,-138.148948,0.997599,0.698239,1.176155,5.086777,0.997599,4.715114
hand_latency_real_to_sim_20260910_121931,drag teach,Little,14.744069,-139.172900,0.997575,0.767822,1.231947,5.275904,0.997575,4.938390
hand_latency_real_to_sim_20260910_121931,drag teach,Rotate,4.845167,-110.139331,0.975277,0.564555,1.115657,4.687968,0.975277,2.137739
hand_latency_real_to_sim_20260910_122008,drag teach,Thumb,15.844181,-128.674750,0.992912,1.229316,2.117945,8.071357,0.992912,6.148526
hand_latency_real_to_sim_20260910_122008,drag teach,Index,16.707144,-135.025246,0.995682,1.033130,1.782069,6.715187,0.995682,6.194701
hand_latency_real_to_sim_20260910_122008,drag teach,Middle,16.636734,-136.485573,0.996498,0.855141,1.567586,5.841983,0.996498,6.103857
hand_latency_real_to_sim_20260910_122008,drag teach,Ring,16.197387,-136.875153,0.996400,0.860591,1.558876,5.669818,0.996400,5.937711
hand_latency_real_to_sim_20260910_122008,drag teach,Little,15.300732,-135.800848,0.996075,0.875220,1.545333,5.543539,0.996075,5.659656
hand_latency_real_to_sim_20260910_122008,drag teach,Rotate,4.697867,-108.050380,0.976876,0.542093,1.047932,4.412655,0.976876,2.012305
hand_latency_real_to_sim_20260910_122706,drag teach,Thumb,11.421913,-131.305622,0.993330,0.931799,1.517186,4.805512,0.993330,4.659248
hand_latency_real_to_sim_20260910_122706,drag teach,Index,15.576436,-134.321999,0.994839,1.089470,1.810075,6.528109,0.994839,6.156576
hand_latency_real_to_sim_20260910_122706,drag teach,Middle,15.473615,-135.952227,0.995505,0.958304,1.654609,6.480783,0.995505,6.027809
hand_latency_real_to_sim_20260910_122706,drag teach,Ring,15.424262,-136.009715,0.995519,0.957157,1.650358,6.510863,0.995519,6.006454
hand_latency_real_to_sim_20260910_122706,drag teach,Little,15.602580,-134.732513,0.994880,1.064307,1.792559,6.580191,0.994880,6.154400
hand_latency_real_to_sim_20260910_122706,drag teach,Rotate,10.354251,-113.749060,0.980329,1.253641,2.198085,7.559834,0.980329,4.759673
hand_latency_real_to_sim_20260910_122732,drag teach,Thumb,11.479229,-127.955720,0.989981,1.255615,1.898589,6.133770,0.989981,5.351916
hand_latency_real_to_sim_20260910_122732,drag teach,Index,15.185927,-133.647791,0.994230,1.302118,1.974912,6.793102,0.994230,6.767925
hand_latency_real_to_sim_20260910_122732,drag teach,Middle,14.766967,-134.779882,0.994972,1.091975,1.746293,5.528591,0.994972,6.514833
hand_latency_real_to_sim_20260910_122732,drag teach,Ring,14.767184,-135.187765,0.995011,1.092965,1.745264,5.500223,0.995011,6.510710
hand_latency_real_to_sim_20260910_122732,drag teach,Little,14.960083,-134.054475,0.994560,1.189432,1.854731,5.125279,0.994560,6.632074
hand_latency_real_to_sim_20260910_122732,drag teach,Rotate,10.367708,-114.408682,0.977507,1.486183,2.390527,7.876623,0.977507,5.175854
