t_rel_s,sim_Little_deg,real_Little_deg
0.0000,6.8754,0.0000
0.0040,6.8756,0.0000
0.0080,6.8754,0.0000
0.0120,6.8756,0.0000
0.0160,6.8754,0.0000
0.0200,6.8756,0.0000
0.0240,6.8754,0.0000
0.0280,6.8756,0.0000
0.0320,6.8754,0.0000
0.0360,6.8756,0.0000
0.0400,6.8754,0.0000
0.0440,6.8756,0.0000
0.0480,6.8754,0.0000
0.0520,6.8756,0.0000
0.0560,6.8754,0.0000
0.0600,6.8756,0.0000
0.0640,6.8754,0.0000
0.0680,6.8756,0.0000
0.0720,6.8754,0.0000
0.0760,6.8756,0.0000
0.0800,6.8754,0.0000
0.0840,6.8756,0.0000
0.0880,6.8754,0.0000
0.0920,6.8756,0.0000
0.0960,6.8754,0.0000
0.1000,6.8756,0.0000
0.1040,6.8754,0.0000
0.1080,6.8756,0.0000
0.1120,6.8754,0.0000
0.1160,6.8756,0.0000
0.1200,6.8754,0.0000
0.1240,6.8756,0.0000
0.1280,6.8754,0.0000
0.1320,6.8756,0.0000
0.1360,6.8754,0.0000
0.1400,6.8756,0.0000
0.1440,6.8754,0.0000
0.1480,6.8756,0.0000
0.1520,6.8754,0.0000
0.1560,6.8756,0.0000
0.1600,6.8754,0.0000
0.1640,6.8756,0.0000
0.1680,6.8754,0.0000
0.1720,6.8756,0.0000
0.1760,6.8754,0.0000
0.1800,6.8756,0.0000
0.1840,6.8754,0.0000
0.1880,6.8756,0.0000
0.1920,6.8754,0.0000
0.1960,6.8756,0.0000
0.2000,6.8754,0.0000
0.2040,6.8756,0.0000
0.2080,6.8754,0.0000
0.2120,6.8756,0.0000
0.2160,6.8754,0.0000
0.2200,6.8756,0.0000
0.2240,6.8754,0.0000
0.2280,6.8756,0.0000
0.2320,6.8754,0.0000
0.2360,6.8756,0.0000
0.2400,6.8754,0.0000
0.2440,6.8756,0.0000
0.2480,6.8754,0.0000
0.2520,6.8756,0.0000
0.2560,6.8754,0.0000
0.2600,6.8756,0.0000
0.2640,6.8754,0.0000
0.2680,6.8756,0.0000
0.2720,6.8754,0.0000
0.2760,6.8756,0.0000
0.2800,6.8754,0.0000
0.2840,6.8756,0.0000
0.2880,6.8754,0.0000
0.2920,6.8756,0.0000
0.2960,6.8754,0.0000
0.3000,6.8756,0.0000
0.3040,6.8754,0.0000
0.3080,6.8756,0.0000
0.3120,6.8754,0.0000
0.3160,6.8756,0.0000
0.3200,6.8754,0.0000
0.3240,6.8756,0.0000
0.3280,6.8754,0.0000
0.3320,6.8756,0.0000
0.3360,6.8754,0.0000
0.3400,6.8756,0.0000
0.3440,6.8754,0.0000
0.3480,6.8756,0.0000
0.3520,6.8754,0.0000
0.3560,6.8756,0.0000
0.3600,6.8754,0.0000
0.3640,6.8756,0.0000
0.3680,6.8754,0.0000
0.3720,6.8756,0.0000
0.3760,6.8754,0.0000
0.3800,6.8756,0.0000
0.3840,6.8754,0.0000
0.3880,6.8756,0.0000
0.3920,6.8754,0.0000
0.3960,6.8756,0.0000
0.4000,6.8754,0.0000
0.4040,6.8756,0.0000
0.4080,6.8754,0.0000
0.4120,6.8756,0.0000
0.4160,6.8754,0.0000
0.4200,6.8756,0.0000
0.4240,6.8754,0.0000
0.4280,6.8756,0.0000
0.4320,6.8754,0.0000
0.4360,6.8756,0.0000
0.4400,6.8754,0.0000
0.4440,6.8756,0.0000
0.4480,6.8754,0.0000
0.4520,6.8756,0.0000
0.4560,6.8754,0.0000
0.4600,6.8756,0.0000
0.4640,6.8755,0.0000
0.4680,6.8756,0.0000
0.4720,6.8754,0.0000
0.4760,6.8756,0.0000
0.4800,6.8754,0.0000
0.4840,6.8756,0.0000
0.4880,6.8755,0.0000
0.4920,6.8756,0.0000
0.4960,6.8754,0.0000
0.5000,6.8756,0.0000
0.5040,6.8754,0.0000
0.5080,6.8756,0.0000
0.5120,6.8754,0.0000
0.5160,6.8756,0.0000
0.5200,6.8754,0.0000
0.5240,6.8756,0.0000
0.5280,6.8755,0.0000
0.5320,6.8756,0.0000
0.5360,6.8755,0.0000
0.5400,6.8756,0.0000
0.5440,6.8754,0.0000
0.5480,6.8756,0.0000
0.5520,6.8754,0.0000
0.5560,6.8756,0.0000
0.5600,6.8755,0.0000
0.5640,6.8756,0.0000
0.5680,6.8754,0.0000
0.5720,6.8756,0.0000
0.5760,6.8755,0.0000
0.5800,6.8756,0.0000
0.5840,6.8754,0.0000
0.5880,6.8756,0.0000
0.5920,6.8755,0.0000
0.5960,6.8756,0.0000
0.6000,6.8755,0.0000
0.6040,6.8756,0.0000
0.6080,6.8755,0.0000
0.6120,6.8756,0.0000
0.6160,6.8755,0.0000
0.6200,6.8756,0.0000
0.6240,6.8754,0.0000
0.6280,6.8756,0.0000
0.6320,6.8755,0.0000
0.6360,6.8756,0.0000
0.6400,6.8755,0.0000
0.6440,6.8756,0.0000
0.6480,6.8754,0.0000
0.6520,6.8756,0.0000
0.6560,6.8755,0.0000
0.6600,6.8756,0.0000
0.6640,6.8755,0.0000
0.6680,6.8756,0.0000
0.6720,6.8755,0.0000
0.6760,6.8756,0.0000
0.6800,6.8754,0.0000
0.6840,6.8756,0.0000
0.6880,6.8755,0.0000
0.6920,6.8756,0.0000
0.6960,6.8755,0.0000
0.7000,6.8756,0.0000
0.7040,6.8755,0.0000
0.7080,6.8755,0.0000
0.7120,6.8755,0.0000
0.7160,6.8756,0.0000
0.7200,6.8755,0.0000
0.7240,6.8756,0.0000
0.7280,6.8755,0.0000
0.7320,6.8756,0.0000
0.7360,6.8755,0.0000
0.7400,6.8756,0.0000
0.7440,6.8755,0.0000
0.7480,6.8756,0.0000
0.7520,6.8755,0.0000
0.7560,6.8756,0.0000
0.7600,6.8755,0.0000
0.7640,6.8756,0.0000
0.7680,6.8755,0.0000
0.7720,6.8756,0.0000
0.7760,6.8755,0.0000
0.7800,6.8756,0.0000
0.7840,6.8754,0.0000
0.7880,6.8756,0.0000
0.7920,6.8755,0.0000
0.7960,6.8756,0.0000
0.8000,6.8755,0.0000
0.8040,6.8756,0.0000
0.8080,6.8755,0.0000
0.8120,6.8756,0.0000
0.8160,6.8755,0.0000
0.8200,6.8755,0.0000
0.8240,6.8755,0.0000
0.8280,6.8756,0.0000
0.8320,6.8755,0.0000
0.8360,6.8756,0.0000
0.8400,6.8755,0.0000
0.8440,6.8756,0.0000
0.8480,6.8755,0.0000
0.8520,6.8756,0.0000
0.8560,6.8755,0.0000
0.8600,6.8756,0.0000
0.8640,6.8755,0.0000
0.8680,6.8756,0.0000
0.8720,6.8755,0.0000
0.8760,6.8756,0.0000
0.8800,6.8755,0.0000
0.8840,6.8756,0.0000
0.8880,6.8755,0.0000
0.8920,6.8756,0.0000
0.8960,6.8755,0.0000
0.9000,6.8756,0.0000
0.9040,6.8755,0.0000
0.9080,6.8756,0.0000
0.9120,6.8755,0.0000
0.9160,6.8756,0.0000
0.9200,6.8755,0.0000
0.9240,6.8756,0.0000
0.9280,6.8755,0.0000
0.9320,6.8756,0.0000
0.9360,6.8755,0.0000
0.9400,6.8756,0.0000
0.9440,6.8755,0.0000
0.9480,6.8755,0.0000
0.9520,6.8755,0.0000
0.9560,6.8756,0.0000
0.9600,6.8755,0.0000
0.9640,6.8756,0.0000
0.9680,6.8755,0.0000
0.9720,6.8756,0.0000
0.9760,6.8755,0.0000
0.9800,6.8756,0.0000
0.9840,6.8755,0.0000
0.9880,6.8755,0.0000
0.9920,6.8755,0.0000
0.9960,6.8755,0.0000
1.0000,6.8755,0.0000
1.0040,6.8756,0.0000
1.0080,6.8755,0.0000
1.0120,6.8756,0.0000
1.0160,6.8755,0.0000
1.0200,6.8756,0.0000
1.0240,6.8755,0.0000
1.0280,6.8756,0.0000
1.0320,6.8755,0.0000
1.0360,6.8756,0.0000
1.0400,6.8755,0.0000
1.0440,6.8756,0.0000
1.0480,6.8755,0.0000
1.0520,6.8756,0.0000
1.0560,6.8755,0.0000
1.0600,6.8756,0.0000
1.0640,6.8755,0.0000
1.0680,6.8756,0.0000
1.0720,6.8755,0.0000
1.0760,6.8756,0.0000
1.0800,6.8755,0.0000
1.0840,6.8756,0.0000
1.0880,6.8755,0.0000
1.0920,6.8755,0.0000
1.0960,6.8755,0.0000
1.1000,6.8755,0.0000
1.1040,6.8755,0.0000
1.1080,6.8755,0.0000
1.1120,6.8755,0.0000
1.1160,6.8756,0.0000
1.1200,6.8755,0.0000
1.1240,6.8756,0.0000
1.1280,6.8755,0.0000
1.1320,6.8756,0.0000
1.1360,6.8755,0.0000
1.1400,6.8756,0.0000
1.1440,6.8755,0.0000
1.1480,6.8756,0.0000
1.1520,6.8755,0.0000
1.1560,6.8756,0.0000
1.1600,6.8755,0.0000
1.1640,6.8756,0.0000
1.1680,6.8755,0.0000
1.1720,6.8756,0.0000
1.1760,6.8755,0.0000
1.1800,6.8756,0.0000
1.1840,6.8755,0.0000
1.1880,6.8756,0.0000
1.1920,6.8754,0.0000
1.1960,6.8756,0.0000
1.2000,6.8755,0.0000
1.2040,6.8756,0.0000
1.2080,6.8755,0.0000
1.2120,6.8756,0.0000
1.2160,6.8755,0.0000
1.2200,6.8756,0.0000
1.2240,6.8755,0.0000
1.2280,6.8756,0.0000
1.2320,6.8755,0.0000
1.2360,6.8756,0.0000
1.2400,6.8755,0.0000
1.2440,6.8756,0.0000
1.2480,6.8755,0.0000
1.2520,6.8755,0.0000
1.2560,6.8755,0.0000
1.2600,6.8756,0.0000
1.2640,6.8755,0.0000
1.2680,6.8756,0.0000
1.2720,6.8755,0.0000
1.2760,6.8756,0.0000
1.2800,6.8755,0.0000
1.2840,6.8756,0.0000
1.2880,6.8755,0.0000
1.2920,6.8756,0.0000
1.2960,6.8755,0.0000
1.3000,6.8756,0.0000
1.3040,6.8755,0.0000
1.3080,6.8756,0.0000
1.3120,6.8755,0.0000
1.3160,6.8756,0.0000
1.3200,6.8755,0.0000
1.3240,6.8756,0.0000
1.3280,6.8755,0.0000
1.3320,6.8756,0.0000
1.3360,6.8755,0.0000
1.3400,6.8756,0.0000
1.3440,6.8755,0.0000
1.3480,6.8755,0.0000
1.3520,6.8755,0.0000
1.3560,6.8756,0.0000
1.3600,6.8755,0.0000
1.3640,6.8756,0.0000
1.3680,6.8755,0.0000
1.3720,6.8756,0.0000
1.3760,6.8755,0.0000
1.3800,6.8756,0.0000
1.3840,6.8755,0.0000
1.3880,6.8756,0.0000
1.3920,6.8755,0.0000
1.3960,6.8756,0.0000
1.4000,6.8755,0.0000
1.4040,6.8756,0.0000
1.4080,6.8754,0.0000
1.4120,6.8756,0.0000
1.4160,6.8755,0.0000
1.4200,6.8756,0.0000
1.4240,6.8755,0.0000
1.4280,6.8756,0.0000
1.4320,6.8755,0.0000
1.4360,6.8756,0.0000
1.4400,6.8755,0.0000
1.4440,6.8756,0.0000
1.4480,6.8755,0.0000
1.4520,6.8756,0.0000
1.4560,6.8755,0.0000
1.4600,6.8756,0.0000
1.4640,6.8754,0.0000
1.4680,6.8756,0.0000
1.4720,6.8755,0.0000
1.4760,6.8756,0.0000
1.4800,6.8755,0.0000
1.4840,6.8756,0.0000
1.4880,6.8755,0.0000
1.4920,6.8756,0.0000
1.4960,6.8755,0.0000
1.5000,6.8756,0.0000
1.5040,6.8755,0.0000
1.5080,6.8756,0.0000
1.5120,6.8755,0.0000
1.5160,6.8756,0.0000
1.5200,6.8755,0.0000
1.5240,6.8756,0.0000
1.5280,6.8755,0.0000
1.5320,6.8756,0.0000
1.5360,6.8755,0.0000
1.5400,6.8756,0.0000
1.5440,6.8754,0.0000
1.5480,6.8756,0.0000
1.5520,6.8755,0.0000
1.5560,6.8756,0.0000
1.5600,6.8754,0.0000
1.5640,6.8756,0.0000
1.5680,6.8755,0.0000
1.5720,6.8756,0.0000
1.5760,6.8755,0.0000
1.5800,6.8756,0.0000
1.5840,6.8755,0.0000
1.5880,6.8756,0.0000
1.5920,6.8755,0.0000
1.5960,6.8756,0.0000
1.6000,6.8755,0.0000
1.6040,6.8756,0.0000
1.6080,6.8755,0.0000
1.6120,6.8756,0.0000
1.6160,6.8755,0.0000
1.6200,6.8756,0.0000
1.6240,6.8754,0.0000
1.6280,6.8756,0.0000
1.6320,6.8755,0.0000
1.6360,6.8756,0.0000
1.6400,6.8755,0.0000
1.6440,6.8756,0.0000
1.6480,6.8755,0.0000
1.6520,6.8756,0.0000
1.6560,6.8755,0.0000
1.6600,6.8756,0.0000
1.6640,6.8755,0.0000
1.6680,6.8756,0.0000
1.6720,6.8755,0.0000
1.6760,6.8756,0.0000
1.6800,6.8755,0.0000
1.6840,6.8756,0.0000
1.6880,6.8755,0.0000
1.6920,6.8756,0.0000
1.6960,6.8755,0.0000
1.7000,6.8756,0.0000
1.7040,6.8754,0.0000
1.7080,6.8756,0.0000
1.7120,6.8755,0.0000
1.7160,6.8756,0.0000
1.7200,6.8755,0.0000
1.7240,6.8756,0.0000
1.7280,6.8754,0.0000
1.7320,6.8756,0.0000
1.7360,6.8755,0.0000
1.7400,6.8756,0.0000
1.7440,6.8755,0.0000
1.7480,6.8756,0.0000
1.7520,6.8754,0.0000
1.7560,6.8756,0.0000
1.7600,6.8755,0.0000
1.7640,6.8756,0.0000
1.7680,6.8754,0.0000
1.7720,6.8756,0.0000
1.7760,6.8755,0.0000
1.7800,6.8756,0.0000
1.7840,6.8754,0.0000
1.7880,6.8756,0.0000
1.7920,6.8755,0.0000
1.7960,6.8756,0.0000
1.8000,6.8755,0.0000
1.8040,6.8756,0.0000
1.8080,6.8755,0.0000
1.8120,6.8756,0.0000
1.8160,6.8755,0.0000
1.8200,6.8756,0.0000
1.8240,6.8755,0.0000
1.8280,6.8756,0.0000
1.8320,6.8755,0.0000
1.8360,6.8756,0.0000
1.8400,6.8755,0.0000
1.8440,6.8756,0.0000
1.8480,6.8755,0.0000
1.8520,6.8756,0.0000
1.8560,6.8755,0.0000
1.8600,6.8756,0.0000
1.8640,6.8755,0.0000
1.8680,6.8756,0.0000
1.8720,6.8755,0.0000
1.8760,6.8756,0.0000
1.8800,6.8754,0.0000
1.8840,6.8756,0.0000
1.8880,6.8755,0.0000
1.8920,6.8756,0.0000
1.8960,6.8755,0.0000
1.9000,6.8756,0.0000
1.9040,6.8755,0.0000
1.9080,6.8756,0.0000
1.9120,6.8755,0.0000
1.9160,6.8756,0.0000
1.9200,6.8755,0.0000
1.9240,6.8756,0.0000
1.9280,6.8755,0.0000
1.9320,6.8756,0.0000
1.9360,6.8755,0.0000
1.9400,6.8756,0.0000
1.9440,6.8754,0.0000
1.9480,6.8756,0.0000
1.9520,6.8755,0.0000
1.9560,6.8756,0.0000
1.9600,6.8754,0.0000
1.9640,6.8756,0.0000
1.9680,6.8755,0.0000
1.9720,6.8756,0.0000
1.9760,6.8754,0.0000
1.9800,6.8756,0.0000
1.9840,6.8754,0.0000
1.9880,6.8756,0.0000
1.9920,6.8755,0.0000
1.9960,6.8756,0.0000
2.0000,6.8755,0.0000
2.0040,6.8756,0.0000
2.0080,6.8755,0.0000
2.0120,6.8756,0.0000
2.0160,6.8755,0.0000
2.0200,6.8756,0.0000
2.0240,6.8754,0.0000
2.0280,6.8756,0.0000
2.0320,6.8755,0.0000
2.0360,6.8756,0.0000
2.0400,6.8754,0.0000
2.0440,6.8756,0.0000
2.0480,6.8755,0.0000
2.0520,6.8756,0.0000
2.0560,6.8754,0.0000
2.0600,6.8756,0.0000
2.0640,6.8754,0.0000
2.0680,6.8756,0.0000
2.0720,6.8754,0.0000
2.0760,6.8756,0.0000
2.0800,6.8755,0.0000
2.0840,6.8756,0.0000
2.0880,6.8755,0.0000
2.0920,6.8756,0.0000
2.0960,6.8755,0.0000
2.1000,6.8756,0.0000
2.1040,6.8754,0.0000
2.1080,6.8756,0.0000
2.1120,6.8755,0.0000
2.1160,6.8756,0.0000
2.1200,6.8755,0.0000
2.1240,6.8756,0.0000
2.1280,6.8754,0.0000
2.1320,6.8756,0.0000
2.1360,6.8755,0.0000
2.1400,6.8756,0.0000
2.1440,6.8754,0.0000
2.1480,6.8756,0.0000
2.1520,6.8754,0.0000
2.1560,6.8756,0.0000
2.1600,6.8755,0.0000
2.1640,6.8756,0.0000
2.1680,6.8755,0.0000
2.1720,6.8756,0.0000
2.1760,6.8754,0.0000
2.1800,6.8756,0.0000
2.1840,6.8754,0.0000
2.1880,6.8756,0.0000
2.1920,6.8755,0.0000
2.1960,6.8756,0.0000
2.2000,6.8754,0.0000
2.2040,6.8756,0.0000
2.2080,6.8755,0.0000
2.2120,6.8756,0.0000
2.2160,6.8755,0.0000
2.2200,6.8756,0.0000
2.2240,6.8755,0.0000
2.2280,6.8756,0.0000
2.2320,6.8755,0.0000
2.2360,6.8756,0.0000
2.2400,6.8755,0.0000
2.2440,6.8756,0.0000
2.2480,6.8755,0.0000
2.2520,6.8756,0.0000
2.2560,6.8755,0.0000
2.2600,6.8756,0.0000
2.2640,6.8755,0.0000
2.2680,6.8756,0.0000
2.2720,6.8755,0.0000
2.2760,6.8756,0.0000
2.2800,6.8754,0.0000
2.2840,6.8756,0.0000
2.2880,6.8755,0.0000
2.2920,6.8756,0.0000
2.2960,6.8755,0.0000
2.3000,6.8756,0.0000
2.3040,6.8754,0.0000
2.3080,6.8756,0.0000
2.3120,6.8754,0.0000
2.3160,6.8756,0.0000
2.3200,6.8755,0.0000
2.3240,6.8756,0.0000
2.3280,6.8754,0.0000
2.3320,6.8756,0.0000
2.3360,6.8754,0.0000
2.3400,6.8756,0.0000
2.3440,6.8754,0.0000
2.3480,6.8756,0.0000
2.3520,6.8754,0.0000
2.3560,6.8756,0.0000
2.3600,6.8755,0.0000
2.3640,6.8756,0.0000
2.3680,6.8755,0.0000
2.3720,6.8756,0.0000
2.3760,6.8755,0.0000
2.3800,6.8756,0.0000
2.3840,6.8754,0.0000
2.3880,6.8756,0.0000
2.3920,6.8754,0.0000
2.3960,6.8756,0.0000
2.4000,6.8755,0.0000
2.4040,6.8756,0.0000
2.4080,6.8755,0.0000
2.4120,6.8756,0.0000
2.4160,6.8755,0.0000
2.4200,6.8756,0.0000
2.4240,6.8754,0.0000
2.4280,6.8756,0.0000
2.4320,6.8754,0.0000
2.4360,6.8756,0.0000
2.4400,6.8754,0.0000
2.4440,6.8756,0.0000
2.4480,6.8755,0.0000
2.4520,6.8756,0.0000
2.4560,6.8754,0.0000
2.4600,6.8756,0.0000
2.4640,6.8754,0.0000
2.4680,6.8756,0.0000
2.4720,6.8754,0.0000
2.4760,6.8756,0.0000
2.4800,6.8754,0.0000
2.4840,6.8756,0.0000
2.4880,6.8754,0.0000
2.4920,6.8756,0.0000
2.4960,6.8754,0.0000
2.5000,6.8756,0.0000
2.5040,6.8754,0.0000
2.5080,6.8756,0.0000
2.5120,6.8754,0.0000
2.5160,6.8756,0.0000
2.5200,6.8754,0.0000
2.5240,6.8756,0.0000
2.5280,6.8755,0.0000
2.5320,6.8756,0.0000
2.5360,6.8754,0.0000
2.5400,6.8756,0.0000
2.5440,6.8754,0.0000
2.5480,6.8756,0.0000
2.5520,6.8754,0.0000
2.5560,6.8756,0.0000
2.5600,6.8754,0.0000
2.5640,6.8756,0.0000
2.5680,6.8755,0.0000
2.5720,6.8756,0.0000
2.5760,6.8754,0.0000
2.5800,6.8756,0.0000
2.5840,6.8754,0.0000
2.5880,6.8756,0.0000
2.5920,6.8754,0.0000
2.5960,6.8756,0.0000
2.6000,6.8754,0.0000
2.6040,6.8756,0.0000
2.6080,6.8755,0.0000
2.6120,6.8756,0.0000
2.6160,6.8754,0.0000
2.6200,6.8756,0.0000
2.6240,6.8754,0.0000
2.6280,6.8756,0.0000
2.6320,6.8754,0.0000
2.6360,6.8756,0.0000
2.6400,6.8755,0.0000
2.6440,6.8756,0.0000
2.6480,6.8754,0.0000
2.6520,6.8756,0.0000
2.6560,6.8754,0.0000
2.6600,6.8756,0.0000
2.6640,6.8754,0.0000
2.6680,6.8756,0.0000
2.6720,6.8754,0.0000
2.6760,6.8756,0.0000
2.6800,6.8754,0.0000
2.6840,6.8756,0.0000
2.6880,6.8755,0.0000
2.6920,6.8756,0.0000
2.6960,6.8754,0.0000
2.7000,6.8756,0.0000
2.7040,6.8754,0.0000
2.7080,6.8756,0.0000
2.7120,6.8754,0.0000
2.7160,6.8756,0.0000
2.7200,6.8754,0.0000
2.7240,6.8756,0.0000
2.7280,6.8754,0.0000
2.7320,6.8756,0.0000
2.7360,6.8755,0.0000
2.7400,6.8756,0.0000
2.7440,6.8754,0.0000
2.7480,6.8756,0.0000
2.7520,6.8755,0.0000
2.7560,6.8756,0.0000
2.7600,6.8754,0.0000
2.7640,6.8756,0.0000
2.7680,6.8754,0.0000
2.7720,6.8756,0.0000
2.7760,6.8754,0.0000
2.7800,6.8756,0.0000
2.7840,6.8754,0.0000
2.7880,6.8756,0.0000
2.7920,6.8754,0.0000
2.7960,6.8756,0.0000
2.8000,6.8755,0.0000
2.8040,6.8756,0.0000
2.8080,6.8754,0.0000
2.8120,6.8756,0.0000
2.8160,6.8754,0.0000
2.8200,6.8756,0.0000
2.8240,6.8754,0.0000
2.8280,6.8756,0.0000
2.8320,6.8754,0.0000
2.8360,6.8756,0.0000
2.8400,6.8754,0.0000
2.8440,6.8756,0.0000
2.8480,6.8754,0.0000
2.8520,6.8756,0.0000
2.8560,6.8754,0.0000
2.8600,6.8756,0.0000
2.8640,6.8754,0.0000
2.8680,6.8756,0.0000
2.8720,6.8754,0.0000
2.8760,6.8756,0.0000
2.8800,6.8754,0.0000
2.8840,6.8756,0.0000
2.8880,6.8755,0.0000
2.8920,6.8756,0.0000
2.8960,6.8755,0.0000
2.9000,6.8756,0.0000
2.9040,6.8754,0.0000
2.9080,6.8756,0.0000
2.9120,6.8754,0.0000
2.9160,6.8756,0.0000
2.9200,6.8755,0.0000
2.9240,6.8756,0.0000
2.9280,6.8754,0.0000
2.9320,6.8756,0.0000
2.9360,6.8754,0.0000
2.9400,6.8756,0.0000
2.9440,6.8754,0.0000
2.9480,6.8756,0.0000
2.9520,6.8754,0.0000
2.9560,6.8756,0.0000
2.9600,6.8754,0.0000
2.9640,6.8756,0.0000
2.9680,6.8754,0.0000
2.9720,6.8756,0.0000
2.9760,6.8754,0.0000
2.9800,6.8756,0.0000
2.9840,6.8754,0.0000
2.9880,6.8756,0.0000
2.9920,6.8754,0.0000
2.9960,6.8756,0.0000
3.0000,6.8754,0.0000
3.0040,6.8756,0.0000
3.0080,6.8754,0.0000
3.0120,6.8756,0.0000
3.0160,6.8754,0.0000
3.0200,6.8756,0.0000
3.0240,6.8754,0.0000
3.0280,6.8756,0.0000
3.0320,6.8754,0.0000
3.0360,6.8756,0.0000
3.0400,6.8754,0.0000
3.0440,6.8756,0.0000
3.0480,6.8754,0.0000
3.0520,6.8756,0.0000
3.0560,6.8754,0.0000
3.0600,6.8756,0.0000
3.0640,6.8754,0.0000
3.0680,6.8756,0.0000
3.0720,6.8754,0.0000
3.0760,6.8756,0.0000
3.0800,6.8754,0.0000
3.0840,6.8756,0.0000
3.0880,6.8754,0.0000
3.0920,6.8756,0.0000
3.0960,6.8754,0.0000
3.1000,6.8756,0.0000
3.1040,6.8754,0.0000
3.1080,6.8756,0.0000
3.1120,6.8754,0.0000
