t_rel_s,sim_Middle_deg,real_Middle_deg
0.0000,6.8754,0.0000
0.0040,6.8756,0.0000
0.0080,6.8754,0.0000
0.0120,6.8756,0.0000
0.0160,6.8754,0.0000
0.0200,6.8756,0.0000
0.0240,6.8754,0.0000
0.0280,6.8756,0.0000
0.0320,6.8754,0.0000
0.0360,6.8756,0.0000
0.0400,6.8754,0.0000
0.0440,6.8756,0.0000
0.0480,6.8754,0.0000
0.0520,6.8756,0.0000
0.0560,6.8754,0.0000
0.0600,6.8756,0.0000
0.0640,6.8754,0.0000
0.0680,6.8756,0.0000
0.0720,6.8754,0.0000
0.0760,6.8756,0.0000
0.0800,6.8754,0.0000
0.0840,6.8756,0.0000
0.0880,6.8754,0.0000
0.0920,6.8756,0.0000
0.0960,6.8754,0.0000
0.1000,6.8756,0.0000
0.1040,6.8754,0.0000
0.1080,6.8756,0.0000
0.1120,6.8754,0.0000
0.1160,6.8756,0.0000
0.1200,6.8754,0.0000
0.1240,6.8756,0.0000
0.1280,6.8754,0.0000
0.1320,6.8756,0.0000
0.1360,6.8754,0.0000
0.1400,6.8756,0.0000
0.1440,6.8754,0.0000
0.1480,6.8756,0.0000
0.1520,6.8754,0.0000
0.1560,6.8756,0.0000
0.1600,6.8754,0.0000
0.1640,6.8756,0.0000
0.1680,6.8754,0.0000
0.1720,6.8756,0.0000
0.1760,6.8754,0.0000
0.1800,6.8756,0.0000
0.1840,6.8754,0.0000
0.1880,6.8756,0.0000
0.1920,6.8755,0.0000
0.1960,6.8756,0.0000
0.2000,6.8754,0.0000
0.2040,6.8756,0.0000
0.2080,6.8754,0.0000
0.2120,6.8756,0.0000
0.2160,6.8754,0.0000
0.2200,6.8756,0.0000
0.2240,6.8754,0.0000
0.2280,6.8756,0.0000
0.2320,6.8754,0.0000
0.2360,6.8756,0.0000
0.2400,6.8754,0.0000
0.2440,6.8756,0.0000
0.2480,6.8754,0.0000
0.2520,6.8756,0.0000
0.2560,6.8754,0.0000
0.2600,6.8756,0.0000
0.2640,6.8754,0.0000
0.2680,6.8756,0.0000
0.2720,6.8754,0.0000
0.2760,6.8756,0.0000
0.2800,6.8754,0.0000
0.2840,6.8756,0.0000
0.2880,6.8754,0.0000
0.2920,6.8756,0.0000
0.2960,6.8754,0.0000
0.3000,6.8756,0.0000
0.3040,6.8754,0.0000
0.3080,6.8756,0.0000
0.3120,6.8754,0.0000
0.3160,6.8756,0.0000
0.3200,6.8754,0.0000
0.3240,6.8756,0.0000
0.3280,6.8754,0.0000
0.3320,6.8756,0.0000
0.3360,6.8754,0.0000
0.3400,6.8756,0.0000
0.3440,6.8754,0.0000
0.3480,6.8756,0.0000
0.3520,6.8754,0.0000
0.3560,6.8756,0.0000
0.3600,6.8754,0.0000
0.3640,6.8756,0.0000
0.3680,6.8754,0.0000
0.3720,6.8756,0.0000
0.3760,6.8754,0.0000
0.3800,6.8756,0.0000
0.3840,6.8754,0.0000
0.3880,6.8756,0.0000
0.3920,6.8754,0.0000
0.3960,6.8755,0.0000
0.4000,6.8755,0.2864
0.4040,6.8756,1.7998
0.4080,6.8754,2.3185
0.4120,6.8756,2.8259
0.4160,6.8754,3.2983
0.4200,6.8756,3.9414
0.4240,6.8754,4.7682
0.4280,6.8756,4.7682
0.4320,6.8754,5.6030
0.4360,6.8756,6.2592
0.4400,6.8754,6.9204
0.4440,6.8756,7.7483
0.4480,6.8755,7.7483
0.4520,6.8755,8.5940
0.4560,6.8755,9.2387
0.4600,6.8755,9.7313
0.4640,6.8755,10.3161
0.4680,6.8755,11.2574
0.4720,6.8755,11.7678
0.4760,6.8755,12.2580
0.4800,6.8755,12.9603
0.4840,6.8755,13.7985
0.4880,6.8755,14.2653
0.4920,6.8755,14.3046
0.4960,6.8755,14.9471
0.5000,6.8755,15.6927
0.5040,6.8755,16.2443
0.5080,6.8755,17.2563
0.5120,6.8755,17.7339
0.5160,6.8755,18.2034
0.5200,6.8755,18.8874
0.5240,6.8934,19.7663
0.5280,7.0618,20.2606
0.5320,7.0618,21.1854
0.5360,7.0618,21.8012
0.5400,7.0618,22.2831
0.5440,7.2444,22.8712
0.5480,9.0607,23.8262
0.5520,9.0607,24.2880
0.5560,9.0607,25.1342
0.5600,9.0607,25.6291
0.5640,9.0607,25.6291
0.5680,9.2362,25.6291
0.5720,11.2698,27.0069
0.5760,11.2698,27.7646
0.5800,11.2698,28.0132
0.5840,11.4712,28.2668
0.5880,13.5023,29.7740
0.5920,13.5023,29.8013
0.5960,13.5023,30.4665
0.6000,13.5023,30.9934
0.6040,13.5023,31.2014
0.6080,13.6973,32.1337
0.6120,15.8344,33.0685
0.6160,15.8344,33.7187
0.6200,15.8344,34.2184
0.6240,15.8344,34.8222
0.6280,16.0318,35.7138
0.6320,18.3324,36.2064
0.6360,18.3324,36.7176
0.6400,18.3324,37.2171
0.6440,18.3324,37.5497
0.6480,18.4970,37.5497
0.6520,20.8947,38.9731
0.6560,20.8947,39.7003
0.6600,20.8947,40.1814
0.6640,20.8947,40.7753
0.6680,21.0735,41.6777
0.6720,23.5127,42.2006
0.6760,23.5127,42.6921
0.6800,23.5127,43.1634
0.6840,23.5127,43.7402
0.6880,23.7562,44.6907
0.6920,26.1624,45.1726
0.6960,26.1790,45.6398
0.7000,26.1790,46.6788
0.7040,26.4114,47.1907
0.7080,28.8872,47.6595
0.7120,28.8872,48.1811
0.7160,28.8872,48.6812
0.7200,28.8872,49.4315
0.7240,28.8872,50.2053
0.7280,29.0672,50.6603
0.7320,31.7110,51.1654
0.7360,31.7110,51.6624
0.7400,31.7110,52.4189
0.7440,31.7110,53.1912
0.7480,31.8694,53.6482
0.7520,34.5557,54.6303
0.7560,34.5557,54.8344
0.7600,34.5557,54.8344
0.7640,34.5557,55.3374
0.7680,34.5937,56.6626
0.7720,37.2596,57.1023
0.7760,37.2596,57.6094
0.7800,37.2596,58.3984
0.7840,37.2596,59.1758
0.7880,37.3091,59.6890
0.7920,40.1592,60.6464
0.7960,40.1592,61.1785
0.8000,40.1592,61.3907
0.8040,40.1592,62.1506
0.8080,40.3671,62.5828
0.8120,43.0695,62.5828
0.8160,43.0695,63.8362
0.8200,43.0695,64.6700
0.8240,43.0695,65.1249
0.8280,43.2670,65.5652
0.8320,45.9892,66.6047
0.8360,45.9894,67.1674
0.8400,45.9893,67.6501
0.8440,45.9893,68.3041
0.8480,46.0972,69.1391
0.8520,48.9170,69.1391
0.8560,48.9170,69.1391
0.8600,48.9170,69.1391
0.8640,48.9170,69.1391
0.8680,48.9170,69.1391
0.8720,51.6133,69.1391
0.8760,51.6133,69.1391
0.8800,51.6133,69.1391
0.8840,51.6133,69.1391
0.8880,51.7060,69.1391
0.8920,53.9501,69.1391
0.8960,53.9500,69.1391
0.9000,53.9500,69.1391
0.9040,53.9501,69.1391
0.9080,54.1195,69.1391
0.9120,55.9753,69.1391
0.9160,55.9752,69.1391
0.9200,55.9752,69.4929
0.9240,55.9748,69.7351
0.9280,55.9753,69.7351
0.9320,55.9749,69.7351
0.9360,57.2959,69.7351
0.9400,57.2955,69.7351
0.9440,57.2958,69.7351
0.9480,57.2955,69.7351
0.9520,57.2958,69.7351
0.9560,57.2956,69.7351
0.9600,57.2958,69.7351
0.9640,57.2955,69.7351
0.9680,57.2958,69.7351
0.9720,57.2955,69.7351
0.9760,57.2958,69.7351
0.9800,57.2955,69.7351
0.9840,57.2958,69.7351
0.9880,57.2956,69.7351
0.9920,57.2958,69.7351
0.9960,57.2954,69.7351
1.0000,57.2959,69.7351
1.0040,57.2956,69.7351
1.0080,57.2958,69.7351
1.0120,57.2955,69.7351
1.0160,57.2958,69.7351
1.0200,57.2956,69.7351
1.0240,57.2958,69.7351
1.0280,57.2955,69.7351
1.0320,57.2958,69.7351
1.0360,57.2955,69.7351
1.0400,57.2958,69.7351
1.0440,57.2955,69.7351
1.0480,57.2958,69.7351
1.0520,57.2955,69.7351
1.0560,57.2958,69.7351
1.0600,57.2955,69.7351
1.0640,57.2958,69.7351
1.0680,57.2955,69.7351
1.0720,57.2958,69.7351
1.0760,57.2955,69.7351
1.0800,57.2958,69.7351
1.0840,57.2955,69.7351
1.0880,57.2958,69.7351
1.0920,57.2955,69.7351
1.0960,57.2958,69.7351
1.1000,57.2956,69.7351
1.1040,57.2958,69.7351
1.1080,57.2955,69.7351
1.1120,57.2958,69.7351
1.1160,57.2955,69.7351
1.1200,57.2958,69.7351
1.1240,57.2955,69.7351
1.1280,57.2959,69.7351
1.1320,57.2955,69.7351
1.1360,57.2958,69.7351
1.1400,57.2955,69.7351
1.1440,57.2958,69.7351
1.1480,57.2956,69.7351
1.1520,57.2958,69.7351
1.1560,57.2955,69.7351
1.1600,57.2959,69.7351
1.1640,57.2955,69.7351
1.1680,57.2958,69.7351
1.1720,57.2955,69.7351
1.1760,57.2958,69.7351
1.1800,57.2956,69.7351
1.1840,57.2958,69.7351
1.1880,57.2955,69.7351
1.1920,57.2959,69.7351
1.1960,57.2956,69.7351
1.2000,57.2958,69.7351
1.2040,57.2955,69.7351
1.2080,57.2959,69.7351
1.2120,57.2956,69.7351
1.2160,57.2958,69.7351
1.2200,57.2955,69.7351
1.2240,57.2958,69.7351
1.2280,57.2955,69.7351
1.2320,57.2958,69.7351
1.2360,57.2955,69.7351
1.2400,57.2958,69.7351
1.2440,57.2956,69.7351
1.2480,57.2958,69.7351
1.2520,57.2955,69.7351
1.2560,57.2959,69.7351
1.2600,57.2956,69.7351
1.2640,57.2958,69.7351
1.2680,57.2955,69.7351
1.2720,57.2959,69.7351
1.2760,57.2955,69.7351
1.2800,57.2958,69.7351
1.2840,57.2955,69.7351
1.2880,57.2958,69.7351
1.2920,57.2956,69.7351
1.2960,57.2958,69.7351
1.3000,57.2954,69.7351
1.3040,57.2958,69.7351
1.3080,57.2956,69.7351
1.3120,57.2958,69.7351
1.3160,57.2955,69.7351
1.3200,57.2958,69.7351
1.3240,57.2956,69.1357
1.3280,57.2958,68.5430
1.3320,57.2954,68.5430
1.3360,57.2959,68.5430
1.3400,57.2956,67.2363
1.3440,57.2958,66.4378
1.3480,57.2955,65.8073
1.3520,57.2959,64.9492
1.3560,57.2955,64.4533
1.3600,57.2958,63.9486
1.3640,57.2954,63.4723
1.3680,57.2959,63.1788
1.3720,57.2955,63.0076
1.3760,57.2959,61.5278
1.3800,57.2955,60.9624
1.3840,57.2959,60.4786
1.3880,57.2955,59.7940
1.3920,57.2959,58.9343
1.3960,57.2955,58.4956
1.4000,57.2959,57.5805
1.4040,57.2955,56.8854
1.4080,57.2959,56.4089
1.4120,57.2954,55.9471
1.4160,57.2959,55.4859
1.4200,57.2955,55.4305
1.4240,57.2959,54.7662
1.4280,57.2955,53.8335
1.4320,57.2960,52.9889
1.4360,57.2956,52.4939
1.4400,57.2959,52.0010
1.4440,57.2956,51.8543
1.4480,57.2959,51.4968
1.4520,57.2956,50.5475
1.4560,57.2959,49.5606
1.4600,57.2956,49.0351
1.4640,57.2959,48.8742
1.4680,57.2956,48.3433
1.4720,57.2959,46.9950
1.4760,57.2956,46.5575
1.4800,57.2958,45.6495
1.4840,57.2957,44.9792
1.4880,57.2958,44.5046
1.4920,57.2957,43.9985
1.4960,57.2958,43.0693
1.5000,57.2957,42.9139
1.5040,57.2958,41.8604
1.5080,57.2957,40.8901
1.5120,57.2958,40.5298
1.5160,57.2831,40.5298
1.5200,56.0259,40.5298
1.5240,55.9848,39.5081
1.5280,55.9848,38.5259
1.5320,55.9848,37.9624
1.5360,55.9848,37.0186
1.5400,53.6303,36.4953
1.5440,53.6062,36.3576
1.5480,53.6062,35.8723
1.5520,53.6062,35.0566
1.5560,53.6062,34.6183
1.5600,51.1840,33.6740
1.5640,51.1475,33.0242
1.5680,51.1475,32.2990
1.5720,51.1475,31.4845
1.5760,51.1475,31.0517
1.5800,48.5524,30.5232
1.5840,48.5397,29.6815
1.5880,48.5397,28.9699
1.5920,48.5397,28.6093
1.5960,48.5397,28.6093
1.6000,45.8823,27.5357
1.6040,45.8823,27.4172
1.6080,45.8823,26.6501
1.6120,45.8823,25.4898
1.6160,45.8823,25.0198
1.6200,43.3037,24.5610
1.6240,43.1819,23.7086
1.6280,43.1819,22.9833
1.6320,43.1819,22.5037
1.6360,43.1819,22.0530
1.6400,40.5228,22.0530
1.6440,40.4442,21.2744
1.6480,40.4442,20.3311
1.6520,40.4442,19.5451
1.6560,40.4442,19.0718
1.6600,37.7102,18.5643
1.6640,37.6741,17.6830
1.6680,37.6741,17.2848
1.6720,37.6741,16.8544
1.6760,37.6741,15.4720
1.6800,34.9556,14.9767
1.6840,34.9556,14.5041
1.6880,34.9556,14.3046
1.6920,34.9556,14.0056
1.6960,34.9034,13.1286
1.7000,32.2534,12.1964
1.7040,32.2021,11.5426
1.7080,32.2021,11.0528
1.7120,32.2021,10.4344
1.7160,32.2021,9.5136
1.7200,29.3390,9.0379
1.7240,29.3390,8.5332
1.7280,29.3390,7.7634
1.7320,29.3390,6.9946
1.7360,29.3390,6.4921
1.7400,26.5106,5.5260
1.7440,26.3807,5.3642
1.7480,26.3807,5.3642
1.7520,26.3807,4.8713
1.7560,26.3476,3.5265
1.7600,23.5785,3.0873
1.7640,23.5785,2.9801
1.7680,23.5785,2.4057
1.7720,23.5785,1.6224
1.7760,23.5460,1.0877
1.7800,20.7010,0.1187
1.7840,20.6731,0.0000
1.7880,20.6731,0.0000
1.7920,20.6731,0.0000
1.7960,20.6731,0.0000
1.8000,17.9167,0.0000
1.8040,17.9167,0.0000
1.8080,17.9167,0.0000
1.8120,17.9167,0.0000
1.8160,17.9110,0.0000
1.8200,15.5278,0.0000
1.8240,15.5278,0.0000
1.8280,15.5278,0.0000
1.8320,15.5278,0.0000
1.8360,15.5035,0.0000
1.8400,13.4574,0.0000
1.8440,13.4574,0.0000
1.8480,13.4574,0.0000
1.8520,13.4575,0.0000
1.8560,13.4575,0.0000
1.8600,13.4575,0.0000
1.8640,11.6631,0.0000
1.8680,11.6631,0.0000
1.8720,11.6631,0.0000
1.8760,11.6631,0.0000
1.8800,10.1136,0.0000
1.8840,10.1080,0.0000
1.8880,10.1081,0.0000
1.8920,10.1080,0.0000
1.8960,10.1081,0.0000
1.9000,8.7603,0.0000
1.9040,8.7603,0.0000
1.9080,8.7603,0.0000
1.9120,8.7604,0.0000
1.9160,8.7603,0.0000
1.9200,8.7604,0.0000
1.9240,7.5922,0.0000
1.9280,7.5923,0.0000
1.9320,7.5922,0.0000
1.9360,7.5923,0.0000
1.9400,7.5922,0.0000
1.9440,6.8756,0.0000
1.9480,6.8754,0.0000
1.9520,6.8756,0.0000
1.9560,6.8754,0.0000
1.9600,6.8756,0.0000
1.9640,6.8754,0.0000
1.9680,6.8756,0.0000
1.9720,6.8754,0.0000
1.9760,6.8756,0.0000
1.9800,6.8754,0.0000
1.9840,6.8756,0.0000
1.9880,6.8754,0.0000
1.9920,6.8756,0.0000
1.9960,6.8754,0.0000
2.0000,6.8756,0.0000
2.0040,6.8754,0.0000
2.0080,6.8756,0.0000
2.0120,6.8754,0.0000
2.0160,6.8756,0.0000
2.0200,6.8754,0.0000
2.0240,6.8756,0.0000
2.0280,6.8754,0.0000
2.0320,6.8756,0.0000
2.0360,6.8754,0.0000
2.0400,6.8756,0.0000
2.0440,6.8754,0.0000
2.0480,6.8756,0.0000
2.0520,6.8754,0.0000
2.0560,6.8756,0.0000
2.0600,6.8754,0.0000
2.0640,6.8756,0.0000
2.0680,6.8754,0.0000
2.0720,6.8756,0.0000
2.0760,6.8754,0.0000
2.0800,6.8756,0.0000
2.0840,6.8754,0.0000
2.0880,6.8756,0.0000
2.0920,6.8754,0.0000
2.0960,6.8756,0.0000
2.1000,6.8754,0.0000
2.1040,6.8756,0.0000
2.1080,6.8754,0.0000
2.1120,6.8756,0.0000
2.1160,6.8754,0.0000
2.1200,6.8756,0.0000
2.1240,6.8754,0.0000
2.1280,6.8756,0.0000
2.1320,6.8754,0.0000
2.1360,6.8756,0.0000
2.1400,6.8754,0.0000
2.1440,6.8756,0.0000
2.1480,6.8754,0.0000
2.1520,6.8756,0.0000
2.1560,6.8754,0.0000
2.1600,6.8756,0.0000
2.1640,6.8754,0.0000
2.1680,6.8756,0.0000
2.1720,6.8754,0.0000
2.1760,6.8756,0.0000
2.1800,6.8754,0.0000
2.1840,6.8756,0.0000
2.1880,6.8754,0.0000
2.1920,6.8756,0.0000
2.1960,6.8754,0.0000
2.2000,6.8756,0.0000
2.2040,6.8754,0.0000
2.2080,6.8756,0.0000
2.2120,6.8754,0.0000
2.2160,6.8756,0.0000
2.2200,6.8754,0.0000
2.2240,6.8756,0.0000
2.2280,6.8754,0.0000
2.2320,6.8756,0.0000
2.2360,6.8754,0.0000
2.2400,6.8756,0.0000
2.2440,6.8754,0.0000
2.2480,6.8756,0.0000
2.2520,6.8754,0.0000
2.2560,6.8756,0.0000
2.2600,6.8754,0.0000
2.2640,6.8756,0.0000
2.2680,6.8754,0.0000
2.2720,6.8756,0.0000
2.2760,6.8754,0.0000
2.2800,6.8756,0.0000
2.2840,6.8754,0.0000
2.2880,6.8756,0.0000
2.2920,6.8754,0.0000
2.2960,6.8756,0.0000
2.3000,6.8754,0.0000
2.3040,6.8756,0.0000
2.3080,6.8754,0.0000
2.3120,6.8756,0.0000
2.3160,6.8754,0.0000
2.3200,6.8756,0.0000
2.3240,6.8754,0.0000
2.3280,6.8756,0.0000
2.3320,6.8754,0.0000
2.3360,6.8756,0.0000
2.3400,6.8754,0.0000
2.3440,6.8756,0.0000
2.3480,6.8754,0.0000
2.3520,6.8756,0.0000
2.3560,6.8754,0.0000
2.3600,6.8756,0.0000
2.3640,6.8754,0.0000
2.3680,6.8756,0.0000
2.3720,6.8754,0.0000
2.3760,6.8756,0.0000
2.3800,6.8754,0.0000
2.3840,6.8756,0.0000
2.3880,6.8754,0.0000
2.3920,6.8756,0.0000
2.3960,6.8754,0.0000
2.4000,6.8756,0.0000
2.4040,6.8754,0.0000
2.4080,6.8756,0.0000
2.4120,6.8754,0.0000
2.4160,6.8756,0.0000
2.4200,6.8754,0.0000
2.4240,6.8756,0.0000
2.4280,6.8754,0.0000
2.4320,6.8756,0.0000
2.4360,6.8754,0.0000
2.4400,6.8756,0.0000
2.4440,6.8754,0.0000
2.4480,6.8756,0.0000
2.4520,6.8754,0.0000
2.4560,6.8756,0.0000
2.4600,6.8754,0.0000
2.4640,6.8756,0.0000
2.4680,6.8754,0.0000
2.4720,6.8756,0.0000
2.4760,6.8754,0.0000
2.4800,6.8756,0.0000
2.4840,6.8754,0.0000
2.4880,6.8756,0.0000
2.4920,6.8754,0.0000
2.4960,6.8756,0.0000
2.5000,6.8754,0.0000
2.5040,6.8756,0.0000
2.5080,6.8754,0.0000
2.5120,6.8756,0.0000
2.5160,6.8754,0.0000
2.5200,6.8756,0.0000
2.5240,6.8754,0.0000
2.5280,6.8756,0.0000
2.5320,6.8754,0.0000
2.5360,6.8756,0.0000
2.5400,6.8754,0.0000
2.5440,6.8756,0.0000
2.5480,6.8754,0.8963
2.5520,6.8755,1.5326
2.5560,6.8754,2.2640
2.5600,6.8756,3.0969
2.5640,6.8755,3.5606
2.5680,6.8755,4.0496
2.5720,6.8755,4.9159
2.5760,6.8755,5.6263
2.5800,6.8755,5.9603
2.5840,6.8755,5.9603
2.5880,6.8755,6.9260
2.5920,6.8755,7.5132
2.5960,6.8755,8.5530
2.6000,6.8755,9.0603
2.6040,6.8755,9.5542
2.6080,6.8755,10.0258
2.6120,6.8755,10.8647
2.6160,6.8755,11.3245
2.6200,6.8755,11.5801
2.6240,6.8755,12.5278
2.6280,6.8755,13.0034
2.6320,6.8755,13.4773
2.6360,6.8755,14.2127
2.6400,6.8755,15.0419
2.6440,6.8755,15.5091
2.6480,6.8755,15.9762
2.6520,6.8755,16.8392
2.6560,6.8755,17.5521
2.6600,6.8755,18.1814
2.6640,6.8755,19.0953
2.6680,6.8755,19.5703
2.6720,6.8755,20.0369
2.6760,6.8755,20.5198
2.6800,6.8755,20.8609
2.6840,6.8755,20.9949
2.6880,8.4823,22.4179
2.6920,8.5523,23.0269
2.6960,8.5523,23.4838
2.7000,8.5523,24.1908
2.7040,8.5523,25.0879
2.7080,8.5523,25.5405
2.7120,10.6240,26.0361
2.7160,10.7498,26.2252
2.7200,10.7498,26.5949
2.7240,10.7498,27.4973
2.7280,12.6514,28.4498
2.7320,12.8132,29.0330
2.7360,12.8132,29.2053
2.7400,12.8132,29.7547
2.7440,12.8132,30.9934
2.7480,12.8132,30.9934
2.7520,15.0683,31.8416
2.7560,15.2372,32.4973
2.7600,15.2372,32.9782
2.7640,15.2372,33.5382
2.7680,15.2372,34.4814
2.7720,17.4690,34.9845
2.7760,17.6559,35.7564
2.7800,17.6559,36.3576
2.7840,17.6559,36.5084
2.7880,17.6559,37.4288
2.7920,19.8780,37.9432
2.7960,20.1495,38.3121
2.8000,20.1495,39.3377
2.8040,20.1495,39.4533
2.8080,20.1495,40.3425
2.8120,22.5007,40.9642
2.8160,22.7079,41.7837
2.8200,22.7079,42.5127
2.8240,22.7079,42.9720
2.8280,22.7079,43.4508
2.8320,25.1993,44.3786
2.8360,25.4020,45.0227
2.8400,25.4020,45.7000
2.8440,25.4020,46.5695
2.8480,25.4020,47.0331
2.8520,27.9907,47.5057
2.8560,28.2138,48.3267
2.8600,28.2138,48.8742
2.8640,28.2138,48.8742
2.8680,28.2138,48.8742
2.8720,30.6558,50.1028
2.8760,30.9685,50.9812
2.8800,30.9685,51.6887
2.8840,30.9685,52.5503
2.8880,30.9685,53.0209
2.8920,33.5844,53.4771
2.8960,33.8327,54.2384
2.9000,33.8327,54.2384
2.9040,33.8327,54.4581
2.9080,33.8327,56.0052
2.9120,36.1724,56.4861
2.9160,36.5535,56.9639
2.9200,36.5535,57.6847
2.9240,36.5535,58.5308
2.9280,36.5535,58.9857
2.9320,39.2403,59.4469
2.9360,39.4678,60.2883
2.9400,39.4678,61.0404
2.9440,39.4678,61.6232
2.9480,39.4678,62.4785
2.9520,42.1646,62.5828
2.9560,42.3910,62.5828
2.9600,42.3909,63.3010
2.9640,42.3909,64.4728
2.9680,42.3909,64.9573
2.9720,45.0795,65.9216
2.9760,45.3216,66.5271
2.9800,45.3216,67.0036
2.9840,45.3216,67.5896
2.9880,45.3216,68.5189
2.9920,47.9589,68.5430
2.9960,48.2589,68.8439
3.0000,48.2589,69.3397
3.0040,48.2589,69.7351
3.0080,48.2589,69.7351
3.0120,50.7242,69.7351
3.0160,51.1224,69.7351
3.0200,51.1224,69.7351
3.0240,51.1224,69.7351
3.0280,51.1224,69.7351
3.0320,53.3751,69.7351
3.0360,53.6040,69.7351
3.0400,53.6040,69.7351
3.0440,53.6039,69.7351
3.0480,53.6040,69.7351
3.0520,55.5296,69.7351
3.0560,55.7548,69.7351
3.0600,55.7547,69.7351
3.0640,55.7548,69.7351
3.0680,55.7548,69.7351
3.0720,55.7548,69.7351
3.0760,57.2005,69.7351
3.0800,57.2958,69.7351
3.0840,57.2958,69.7351
3.0880,57.2957,69.7351
3.0920,57.2958,69.7351
3.0960,57.2957,69.7351
3.1000,57.2958,69.7351
3.1040,57.2958,69.7351
3.1080,57.2958,69.7351
3.1120,57.2958,69.7351
