t_mono_s,source,Thumb_rad,Index_rad,Middle_rad,Ring_rad,Little_rad,Rotate_rad
2850.053689,sim,0.080001,0.120001,0.213043,0.205912,0.189971,0.000008
2850.054174,sim,0.079999,0.119999,0.213041,0.205911,0.189969,-0.000005
2850.054479,sim,0.080001,0.120001,0.213043,0.205912,0.189971,0.000009
2850.054674,sim,0.079999,0.119999,0.213041,0.205911,0.189969,-0.000005
2850.055057,sim,0.080001,0.120001,0.184637,0.178457,0.164641,0.000008
2850.055314,sim,0.079999,0.119999,0.184636,0.178456,0.164640,-0.000005
2850.055530,sim,0.080001,0.120001,0.184637,0.178457,0.164641,0.000009
2850.055697,sim,0.080000,0.120000,0.184636,0.178456,0.164640,-0.000005
2850.055857,sim,0.080001,0.120001,0.184637,0.178457,0.164641,0.000009
2850.056059,sim,0.079999,0.119999,0.160017,0.154662,0.142688,-0.000005
2850.056215,sim,0.080001,0.120001,0.160019,0.154663,0.142689,0.000008
2850.056360,sim,0.080000,0.120000,0.160017,0.154662,0.142688,-0.000005
2850.056783,sim,0.080001,0.120001,0.160019,0.154663,0.142689,0.000008
2850.056955,sim,0.080000,0.120000,0.138682,0.134040,0.123663,-0.000005
2850.057122,sim,0.080001,0.120001,0.138683,0.134041,0.123664,0.000008
2850.057316,sim,0.079999,0.119999,0.138682,0.134040,0.123663,-0.000005
2850.057610,sim,0.080001,0.120001,0.138683,0.134042,0.123664,0.000008
2850.057770,sim,0.080000,0.120000,0.138682,0.134040,0.123663,-0.000005
2850.057917,sim,0.080001,0.120001,0.138683,0.134041,0.123664,0.000008
2850.058076,sim,0.080000,0.120000,0.120191,0.120000,0.120000,-0.000005
2850.058233,sim,0.080002,0.120002,0.120193,0.120002,0.120002,0.000019
2850.058384,sim,0.079999,0.119999,0.120190,0.119999,0.119999,-0.000012
2850.058529,sim,0.080002,0.120002,0.120193,0.120002,0.120002,0.000018
2850.058671,sim,0.079999,0.119999,0.120190,0.119999,0.119999,-0.000012
2850.058827,sim,0.080001,0.120002,0.120002,0.120002,0.120002,0.000017
2850.059061,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000011
2850.059302,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.059533,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000013
2850.059771,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.059993,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.060164,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.060311,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.060458,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.060611,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.060756,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.060900,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.061054,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.061269,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000014
2850.061697,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.061933,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.062170,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.062392,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.062548,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.062694,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.062844,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.063070,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.063293,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000020
2850.063528,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000013
2850.063747,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.063978,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.064180,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.064329,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.064464,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.064598,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.064732,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.064874,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000014
2850.065017,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.065154,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.065287,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.065421,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.065585,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000025
2850.065759,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000016
2850.065905,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.066058,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.066201,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.066523,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.066946,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.067187,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000016
2850.067403,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000025
2850.067625,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000016
2850.067851,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.068126,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.068363,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.068540,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000014
2850.068690,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.068829,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.068967,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.069128,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.069273,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.069412,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.069545,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.069681,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.069814,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.069948,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.070100,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.070243,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.070377,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.070509,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.070640,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.070803,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.071024,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.071265,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.071496,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.071912,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.072139,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.072370,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.072590,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.072803,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.073037,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.073193,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000016
2850.073335,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.073474,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.073660,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.073852,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.074055,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.074910,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000014
2850.078937,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.083009,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.087190,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000021
2850.091200,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.094922,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000022
2850.098953,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.102983,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.107007,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.110970,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.115098,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.119065,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000023
2850.123006,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.127037,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.131178,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.135096,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.139043,sim,0.079999,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.142906,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000025
2850.146976,sim,0.079998,0.119998,0.119998,0.119998,0.119998,-0.000016
2850.151177,sim,0.080002,0.120002,0.120002,0.120002,0.120002,0.000024
2850.155043,sim,0.109275,0.119998,0.119998,0.119998,0.119998,-0.000015
2850.158965,sim,0.109278,0.120002,0.120002,0.120002,0.120002,0.000022
2850.162945,sim,0.109275,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.167030,sim,0.109278,0.120002,0.120002,0.120002,0.120002,0.000022
2850.171442,sim,0.109275,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.175079,sim,0.144641,0.120002,0.120002,0.120002,0.120002,0.000020
2850.179009,sim,0.144638,0.119999,0.119999,0.119999,0.119999,-0.000013
2850.183139,sim,0.144641,0.120002,0.120002,0.120002,0.120002,0.000021
2850.187057,sim,0.144638,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.191177,sim,0.144641,0.120002,0.120002,0.120002,0.120002,0.000020
2850.195162,sim,0.183607,0.119999,0.119999,0.119999,0.119999,-0.000013
2850.199382,sim,0.183610,0.120002,0.120002,0.120002,0.120002,0.000023
2850.203098,sim,0.183607,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.206995,sim,0.183610,0.120001,0.120001,0.120001,0.120001,0.000021
2850.211055,sim,0.183607,0.119999,0.119999,0.119999,0.119999,-0.000013
2850.215105,sim,0.224318,0.120001,0.120001,0.120001,0.120001,0.000018
2850.219066,sim,0.224316,0.119999,0.119999,0.119999,0.119999,-0.000012
2850.222894,sim,0.224319,0.120002,0.120002,0.120002,0.120002,0.000022
2850.226954,sim,0.224316,0.119999,0.119999,0.119999,0.119999,-0.000014
2850.231182,sim,0.224319,0.120002,0.120002,0.120002,0.120002,0.000024
2850.235111,sim,0.260984,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.239018,sim,0.260987,0.120002,0.120002,0.120002,0.120002,0.000024
2850.243015,sim,0.260984,0.119999,0.119999,0.119999,0.119999,-0.000016
2850.247044,sim,0.260986,0.120001,0.120001,0.120001,0.120001,0.000022
2850.251388,sim,0.260984,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.254989,sim,0.292765,0.120002,0.120002,0.120002,0.120002,0.000023
2850.258936,sim,0.292762,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.263037,sim,0.292765,0.120002,0.120002,0.120002,0.120002,0.000023
2850.267072,sim,0.292763,0.119999,0.119999,0.119999,0.119999,-0.000015
2850.271474,sim,0.292765,0.120002,0.120002,0.120002,0.120002,0.000024
2850.274998,sim,0.320304,0.119999,0.119999,0.148678,0.145636,-0.000016
