t_rel_s,t_unix,mode,cycle,phase,setpoint_n,force_net_n,lc_seq,lc_t_us,lc_voltage_raw_v,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,pose_age_ms,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,touch_t_us,taxel_age_ms,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0009,1788964492.3704,TOUCH,0,-1,2.0000,-0.0037,355815,131384925,-3.7620382,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0030,1788964492.3725,TOUCH,0,-1,2.0000,-0.0039,355816,131387488,-3.7322221,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0060,1788964492.3754,TOUCH,1,0,2.0000,-0.0040,355817,131390163,-3.7908950,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0082,1788964492.3777,TOUCH,1,0,2.0000,-0.0042,355818,131392680,-3.7685130,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0090,1788964492.3785,TOUCH,1,0,2.0000,-0.0043,355819,131393704,-3.7334330,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0130,1788964492.3825,TOUCH,1,0,2.0000,-0.0042,355820,131397544,-3.7171392,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0154,1788964492.3849,TOUCH,1,0,2.0000,-0.0040,355821,131400124,-3.7110558,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0179,1788964492.3874,TOUCH,1,0,2.0000,-0.0038,355822,131402563,-3.7431223,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0202,1788964492.3897,TOUCH,1,0,2.0000,-0.0038,355823,131404945,-3.7459924,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0227,1788964492.3922,TOUCH,1,0,2.0000,-0.0038,355824,131407455,-3.7907138,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0254,1788964492.3949,TOUCH,1,0,2.0000,-0.0042,355825,131409967,-3.7909253,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0279,1788964492.3974,TOUCH,1,0,2.0000,-0.0046,355826,131412591,-3.7637832,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0306,1788964492.4000,TOUCH,1,0,2.0000,-0.0048,355827,131415300,-3.7709980,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0329,1788964492.4024,TOUCH,1,0,2.0000,-0.0050,355828,131417698,-3.7784123,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0354,1788964492.4049,TOUCH,1,0,2.0000,-0.0053,355829,131420073,-3.7323723,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0378,1788964492.4073,TOUCH,1,0,2.0000,-0.0055,355830,131422466,-3.7653418,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0403,1788964492.4098,TOUCH,1,0,2.0000,-0.0056,355831,131424914,-3.7801089,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0427,1788964492.4122,TOUCH,1,0,2.0000,-0.0058,355832,131427455,-3.7254410,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0453,1788964492.4147,TOUCH,1,0,2.0000,-0.0057,355833,131429955,-3.7351196,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0477,1788964492.4172,TOUCH,1,0,2.0000,-0.0056,355834,131432453,-3.7467399,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0501,1788964492.4196,TOUCH,1,0,2.0000,-0.0056,355835,131434927,-3.7019055,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0528,1788964492.4223,TOUCH,1,0,2.0000,-0.0056,355836,131437479,-3.7522233,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0552,1788964492.4247,TOUCH,1,0,2.0000,-0.0056,355837,131439923,-3.7479496,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0583,1788964492.4277,TOUCH,1,0,2.0000,-0.0056,355838,131442699,-3.7372975,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0606,1788964492.4301,TOUCH,1,0,2.0000,-0.0057,355839,131445295,-3.7491047,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0630,1788964492.4325,TOUCH,1,0,2.0000,-0.0057,355840,131447720,-3.7676067,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0659,1788964492.4354,TOUCH,1,0,2.0000,-0.0057,355841,131450107,-3.7455602,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0678,1788964492.4372,TOUCH,1,0,2.0000,-0.0059,355842,131452518,-3.7849777,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0703,1788964492.4398,TOUCH,1,0,2.0000,-0.0063,355843,131454960,-3.7969551,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0728,1788964492.4423,TOUCH,1,0,2.0000,-0.0066,355844,131457470,-3.7518528,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0757,1788964492.4452,TOUCH,1,0,2.0000,-0.0067,355845,131460340,-3.7310114,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0781,1788964492.4476,TOUCH,1,0,2.0000,-0.0067,355846,131462800,-3.7496445,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0794,1788964492.4489,TOUCH,1,0,2.0000,-0.0067,355847,131464157,-3.7344387,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0827,1788964492.4522,TOUCH,1,0,2.0000,-0.0067,355848,131467447,-3.7595508,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0853,1788964492.4547,TOUCH,1,0,2.0000,-0.0068,355849,131469960,-3.7729325,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0877,1788964492.4572,TOUCH,1,0,2.0000,-0.0071,355850,131472451,-3.7712789,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0904,1788964492.4599,TOUCH,1,0,2.0000,-0.0073,355851,131475045,-3.7260334,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0931,1788964492.4626,TOUCH,1,0,2.0000,-0.0072,355852,131477800,-3.7315633,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0957,1788964492.4652,TOUCH,1,0,2.0000,-0.0070,355853,131480364,-3.7293389,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0980,1788964492.4675,TOUCH,1,0,2.0000,-0.0069,355854,131482776,-3.7649596,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1005,1788964492.4700,TOUCH,1,0,2.0000,-0.0070,355855,131485151,-3.7759368,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1030,1788964492.4725,TOUCH,1,0,2.0000,-0.0072,355856,131487657,-3.7691283,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1060,1788964492.4754,TOUCH,1,0,2.0000,-0.0074,355857,131490095,-3.7383664,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1079,1788964492.4774,TOUCH,1,0,2.0000,-0.0074,355858,131492580,-3.7207391,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1105,1788964492.4800,TOUCH,1,0,2.0000,-0.0072,355859,131495269,-3.7309568,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1133,1788964492.4828,TOUCH,1,0,2.0000,-0.0070,355860,131497979,-3.7024581,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1146,1788964492.4841,TOUCH,1,0,2.0000,-0.0068,355861,131499347,-3.7117827,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1177,1788964492.4872,TOUCH,1,0,2.0000,-0.0065,355862,131502454,-3.7124152,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1202,1788964492.4897,TOUCH,1,0,2.0000,-0.0062,355863,131504974,-3.7259245,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1231,1788964492.4926,TOUCH,1,0,2.0000,-0.0061,355864,131507658,-3.7586956,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1258,1788964492.4953,TOUCH,1,0,2.0000,-0.0062,355865,131510464,-3.7799833,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1281,1788964492.4976,TOUCH,1,0,2.0000,-0.0063,355866,131512871,-3.7357812,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1308,1788964492.5003,TOUCH,1,0,2.0000,-0.0062,355867,131515527,-3.7269490,1.27077,-0.21642,-2.62340,1.26763,1.57080,-2.75395,-0.05718,-0.46142,0.05073,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
